match_id,match_timestamp,p1_name,p2_name,p1_avg_1st_sv_speed,p2_avg_1st_sv_speed,p1_avg_2nd_sv_speed,p2_avg_2nd_sv_speed,p1_winners,p2_winners,p1_unforced_errors,p2_unforced_errors,p1_net_points_won,p2_net_points_won,p1_net_points_played,p2_net_points_played,data_added_timestamp
fuR6hT6m,1756144500,Chen C.,Kikuchi Y.,,,,,,,,,,,,,1756162727.489406
63pOnkHr,1756143900,Charlton J.,Santillan A.,,,,,,,,,,,,,1756162723.990676
pKWqVPkt,1756143600,Huang T.,Nam Ji S.,,,,,,,,,,,,,1756162720.511507
Ikh0RMX7,1756139100,Uesugi K.,Watt J.,,,,,,,,,,,,,1756162716.653895
pdpnkQPE,1756139100,Uchida K.,Yuzuki T.,,,,,,,,,,,,,1756162713.145705
WCGTSZ8C,1756139100,Peliwo F.,Liu H.,,,,,,,,,,,,,1756162709.859972
vJNhnywo,1756141500,Pieczonka F.,De Schepper K.,,,,,,,,,,,,,1756162706.211551
fie44zaT,1756137000,Jorda Sanchis D.,Cacao T.,,,,,,,,,,,,,1756162702.973114
vuD8LYYR,1756136700,McKennon M.,Kielan S.,,,,,,,,,,,,,1756162699.627015
G4AIAd3C,1756130700,Wallin O.,Martinez A.,,,,,,,,,,,,,1756162696.141068
4xicc1on,1756130700,Martin D.,Torres T.,,,,,,,,,,,,,1756162692.608825
EsVRWtL7,1756130700,Alcala Gurri M.,Gima S.,,,,,,,,,,,,,1756162689.178341
nTGYapMs,1756154700,Araujo P.,Ymer E.,,,,,,,,,,,,,1756162685.489225
dtqOA1z0,1756152900,Barrena A.,Negritu Ch.,,,,,,,,,,,,,1756162682.008184
Cz2bftjJ,1756150200,Hernandez A.,Olivieri G. A.,,,,,,,,,,,,,1756162678.729893
reAsbOjf,1756148700,Alvarez Varona N.,Strombachs R.,,,,,,,,,,,,,1756162675.021817
Gtf1Ihx9,1756145400,Pereira T.,Dodig M.,,,,,,,,,,,,,1756162671.76698
h8xX8u5C,1756143600,Bailly G. A.,Mrva M.,,,,,,,,,,,,,1756162668.294519
b5uu7JZO,1756138200,Seyboth Wild T.,Sanchez Izquierdo N.,,,,,,,,,,,,,1756162664.803945
U30ZzTj5,1756150800,Chidekh C.,Wiskandt M.,,,,,,,,,,,,,1756162661.315968
Qm5IzKdM,1756144800,Escoffier A.,Stewart H.,,,,,,,,,,,,,1756162657.841152
xU3sZ6LH,1756143300,Masur D.,Karol M.,,,,,,,,,,,,,1756162654.36035
8lCQxkMh,1756142100,Gerasimov E.,Poullain L.,,,,,,,,,,,,,1756162650.674368
U1LFGb5j,1756141800,Barroso Campos A.,Glinka D.,,,,,,,,,,,,,1756162647.190932
rmfdTykd,1756134600,Honda N.,Lokoli L.,,,,,,,,,,,,,1756162643.506644
0GIyZrxH,1756133100,Soriano Barrera A.,Poljak D.,,,,,,,,,,,,,1756162639.852814
Me81v2cc,1756133100,Soriano Barrera A.,Reymond A.,,,,,,,,,,,,,1756162636.337871
xOGgwBt9,1756132800,Pichler D.,Callejon H. S.,,,,,,,,,,,,,1756162632.85648
0O8IvBit,1756132200,Misolic F.,Callejon H. S.,,,,,,,,,,,,,1756162628.955477
02w3wWc6,1756128600,Parker S.,Tsitsipas Pa.,,,,,,,,,,,,,1756162625.278496
ALtkVcKq,1756128300,Parker S.,Jones M.,,,,,,,,,,,,,1756162621.280519
bexqius3,1756127100,Pieczkowski O.,Langmo C.,,,,,,,,,,,,,1756162617.493383
IN1AxtS9,1756127100,Paul J.,Milavsky D.,,,,,,,,,,,,,1756162613.404967
W8zikJBF,1756127100,Geerts M.,Qi H.,,,,,,,,,,,,,1756162610.122921
6HkuYKyH,1756137900,Brancaccio R.,Iannaccone F.,,,,,,,,,,,,,1756162606.64123
dfUHzauP,1756136100,Fonio G.,Vasami J.,,,,,,,,,,,,,1756162602.965599
p8AEnKjA,1756134300,Boitan G. A.,Dalla Valle E.,,,,,,,,,,,,,1756162599.283897
Sv4m8Ia4,1756127400,Montes-De La Torre I.,Pennaforti G.,,,,,,,,,,,,,1756162595.582028
C2f5euGb,1756127100,Molleker R.,Squire H.,,,,,,,,,,,,,1756162591.691858
ClFWtt15,1756127100,Compagnucci T.,Faurel T.,,,,,,,,,,,,,1756162587.598762
Ug7cUwE6,1756149600,Martin Tiffon P.,Torres J. B.,,,,,,,,,,,,,1756162583.602233
j9e6SHrJ,1756149300,Gakhov I.,Ajdukovic D.,,,,,,,,,,,,,1756162579.768759
jmKVFvaD,1756144800,Bueno G.,Diaz Acosta F.,,,,,,,,,,,,,1756162575.632837
zXTOpabm,1756143300,Jianu F. C.,Martin A.,,,,,,,,,,,,,1756162571.621372
2RmlYLEs,1756141200,Caniato C. A.,Rodriguez Taverna S.,,,,,,,,,,,,,1756162567.626945
URbUBjn4,1756172400,Duckworth J.,Boyer T.,,,,,,,,,,,,,1756162563.839246
lQrdA6mT,1756168500,Dellien H.,Majchrzak K.,,,,,,,,,,,,,1756162559.948021
2ucxAUGG,1756167900,Munar J.,Faria J.,,,,,,,,,,,,,1756162556.530495
Y9hkuRn3,1756167600,Van De Zandschulp B.,Rune H.,,,,,,,,,,,,,1756162553.02925
0O8VKd1l,1756167600,Tiafoe F.,Nishioka Y.,,,,,,,,,,,,,1756162549.215561
tfGs3CIl,1756166400,Brooksby J.,Vukic A.,,,,,,,,,,,,,1756162543.714453
2wIIk0V1,1756164000,Passaro F.,Cobolli F.,,,,,,,,,,,,,1756162539.062727
xpWikaCd,1756164000,Bellucci M.,Shang J.,,,,,,,,,,,,,1756162534.760433
MB2XvIhK,1756161600,Comesana F.,Michelsen A.,,,,,,,,,,,,,1756162529.805792
Y3cKTLun,1756160400,Galan D. E.,Collignon R.,,,,,,,,,,,,,1756162524.724158
Ya5LDCHi,1756158900,Gomez F. A.,Draper J.,,,,,,,,,,,,,1756162520.139158
tdq4ZeGs,1756157100,Fonseca J.,Kecmanovic M.,,,,,,,,,,,,,1756162514.689456
UHFoHE0D,1756152600,Norrie C.,Korda S.,,,,,,,,,,,,,1756162510.32477
rZf5D3N8,1756152600,Kovacevic A.,Wong C.,,,,,,,,,,,,,1756162506.687102
K6SFQRX9,1756152600,Humbert U.,Walton A.,,,,,,,,,,,,,1756162503.219388
hdhPnCk5,1756152600,Bergs Z.,Tseng C. H.,,,,,,,,,,,,,1756162498.560946
zRWZEGbD,1756152300,Damm M.,Blanch Dar.,,,,,,,,,,,,,1756162494.528804
GG0vQt7E,1756152300,Baez S.,Harris L.,,,,,,,,,,,,,1756162491.137568
jN0B9lF8,1756152000,Djere L.,Collignon R.,,,,,,,,,,,,,1756162487.675246
OYcpg8DU,1756101900,Medvedev D.,Bonzi B.,,,,,,,,,,,,,1756162484.174483
ngnCXZpf,1756095600,Djokovic N.,Tien L.,,,,,,,,,,,,,1756162480.859622
S2IZk9Pp,1756095000,Nakashima B.,De Jong J.,,,,,,,,,,,,,1756162477.208312
rLuj267r,1756092000,Navone M.,Giron M.,,,,,,,,,,,,,1756162473.710357
O0fZ1xd2,1756088400,Thompson J.,Moutet C.,,,,,,,,,,,,,1756162470.260843
KCL9P1uo,1756032000,Samrej K.,Chen C.,,,,,,,,,,,,,1756123021.903737
f3DKwh0e,1756031400,Tajima N.,Kikuchi Y.,,,,,,,,,,,,,1756123015.878352
08bdm5Xi,1756030200,Zeng Y.,Santillan A.,,,,,,,,,,,,,1756123012.071061
f5hvbMoA,1756027200,Peliwo F.,Wang A.,,,,,,,,,,,,,1756123007.055238
40eDqNWG,1756026000,Rai A.,Charlton J.,,,,,,,,,,,,,1756123001.833235
xEgLs11T,1756026000,Huang T.,Nakagawa S.,,,,,,,,,,,,,1756122997.017284
6qCqxuPj,1756025700,Kaliyanda Poonacha N.,Nam Ji S.,,,,,,,,,,,,,1756122989.847446
SGBSyWU7,1756021200,Liu H.,Kusuhara Y.,,,,,,,,,,,,,1756122983.294962
8Y14oq24,1756019400,Yuzuki T.,Leong M. W. K.,,,,,,,,,,,,,1756122976.739582
Yk4VarHc,1756019400,Watanabe S.,Watt J.,,,,,,,,,,,,,1756122971.63161
04KBuEVr,1756019400,Uchida K.,Sun Qian,,,,,,,,,,,,,1756122967.344497
jcVwVNHN,1756018800,Delaney Ja.,Uesugi K.,,,,,,,,,,,,,1756122961.572588
hpr6QKGO,1756065600,Cacao T.,Freitas J.,,,,,,,,,,,,,1756122956.461287
GnFAvwf4,1756062300,Massard L.,Pieczonka F.,,,,,,,,,,,,,1756122952.166168
fXQ1taPi,1756062000,Cacao T.,Baadi T.,,,,,,,,,,,,,1756122947.229744
bV6RzegT,1756057800,Bangoura S.,De Schepper K.,,,,,,,,,,,,,1756122942.532278
8thqOH9N,1756056900,Jorda Sanchis D.,Valdoleiros G.,,,,,,,,,,,,,1756122937.413195
A9zpgx9c,1756055100,Torres T.,McCormick T.,,,,,,,,,,,,,1756122932.086486
fFXVqYVq,1756051800,Kielan S.,Vilicich B.,,,,,,,,,,,,,1756122925.757315
2HhiiGwA,1756050600,McKennon M.,Jermar J.,,,,,,,,,,,,,1756122919.181478
23DIxHOG,1756050000,Martin D.,Maia H.,,,,,,,,,,,,,1756122912.626297
SQYFIeXp,1756044600,Heinonen A.,Martinez A.,,,,,,,,,,,,,1756122906.072016
f1hcVYGj,1756044600,Bocchi L.,Gima S.,,,,,,,,,,,,,1756122900.966936
zTgyQwuB,1756044600,Alcala Gurri M.,Luis T.,,,,,,,,,,,,,1756122896.239838
xU9adg2N,1756072800,Brancaccio R.,Somani P.,,,,,,,,,,,,,1756122889.685111
fs2ScoMU,1756068900,Boitan G. A.,Duda F.,,,,,,,,,,,,,1756122883.337626
0OEz2cYo,1756065600,Kalyanpur A.,Dalla Valle E.,,,,,,,,,,,,,1756122877.607389
6aSNjXPp,1756065600,Cukierman D.,Iannaccone F.,,,,,,,,,,,,,1756122872.684046
dp5Z8WoT,1756063200,Vasami J.,Vrbensky M.,,,,,,,,,,,,,1756122866.53975
4GBibFXA,1756062600,Barnat J.,Pennaforti G.,,,,,,,,,,,,,1756122863.059357
fL8ICEn4,1756062000,Fossati C.,Squire H.,,,,,,,,,,,,,1756122859.34687
8lIr0y3b,1756060200,Montes-De La Torre I.,Kravchenko G.,,,,,,,,,,,,,1756122855.478411
2oCQAhHG,1756055700,Fonio G.,Piatti R.,,,,,,,,,,,,,1756122850.767111
hGj53A9j,1756055700,Compagnucci T.,Basile P.,,,,,,,,,,,,,1756122847.103474
Y5K9EzIi,1756055400,Molleker R.,Latinovic S.,,,,,,,,,,,,,1756122842.778866
8OYiRD1c,1756055100,Faurel T.,Janvier M.,,,,,,,,,,,,,1756122838.886721
