match_id,tournament_date,tournament_name,tournament_country,match_date,p1_name,p2_name,round,p1_winners,p1_unforced_errors,p1_net_points_won,p1_net_points_played,p2_winners,p2_unforced_errors,p2_net_points_won,p2_net_points_played
67b015651216a1aaf0b59c4d918abd9a,2022-03-07,BNP Paribas Open - Indian Wells,United States of America,2022-03-10,Alejandro Davidovich Fokina,Borna Coric,First Round,22,28,12,22,21,46,13,30
f19354e18dc15f8fc439ff635bc3f4b0,2022-03-07,BNP Paribas Open - Indian Wells,United States of America,2022-03-10,Benjamin Bonzi,Arthur Rinderknech,First Round,17,9,6,8,23,22,10,13
1ea51e5e8238c332d90f6bca044897c0,2022-03-07,BNP Paribas Open - Indian Wells,United States of America,2022-03-10,Christopher Eubanks,Maxime Cressy,First Round,40,18,14,25,44,8,39,55
574f62cd21891f2d38f5b207ab0e1931,2022-03-07,BNP Paribas Open - Indian Wells,United States of America,2022-03-10,Fabio Fognini,Pablo Andujar,First Round,38,33,14,14,17,26,12,15
701f4ca31ad55bd85550c7d1f2aa8adc,2022-03-07,BNP Paribas Open - Indian Wells,United States of America,2022-03-10,Federico Coria,Pablo Cuevas,First Round,9,17,3,7,25,34,7,11
1999279e3ede6253cd85200b3f12e4a3,2022-03-07,BNP Paribas Open - Indian Wells,United States of America,2022-03-10,Filip Krajinovic,Dusan Lajovic,First Round,28,18,15,21,36,27,9,14
1b11aadeb8c631cb62c5d38ef1d076b2,2022-03-07,BNP Paribas Open - Indian Wells,United States of America,2022-03-10,Jack Sock,Juan Manuel Cerundolo,First Round,18,15,13,16,7,20,6,12
659a56db2ec64d1944dbe350857132ff,2022-03-07,BNP Paribas Open - Indian Wells,United States of America,2022-03-10,Jeff Wolf,Hugo Gaston,First Round,41,22,19,36,20,14,9,12
47711b231d5156a3eab32a6f33aae6a5,2022-03-07,BNP Paribas Open - Indian Wells,United States of America,2022-03-10,Jenson Brooksby,Roberto Carballes Baena,First Round,20,14,11,16,9,27,9,14
71cadfe42f177f6e7ae60558122160e0,2022-03-07,BNP Paribas Open - Indian Wells,United States of America,2022-03-10,Laslo Djere,Soon-Woo Kwon,First Round,28,47,10,16,14,28,4,6
84fbb3ff37258d14f311b3e51c220c70,2022-03-07,BNP Paribas Open - Indian Wells,United States of America,2022-03-10,Lorenzo Musetti,Marcos Giron,First Round,18,22,10,19,15,16,8,12
f330e4a5fd748813921a895e61bac9e2,2022-03-07,BNP Paribas Open - Indian Wells,United States of America,2022-03-10,Mackenzie Mcdonald,Marton Fucsovics,First Round,22,27,17,23,29,37,18,29
76bc3dcd80cea6c2814ea7f80d4c5c52,2022-03-07,BNP Paribas Open - Indian Wells,United States of America,2022-03-10,Nick Kyrgios,Sebastian Baez,First Round,27,14,6,12,15,18,8,15
beb708ec59faa8db3c6c0254f6c32cf3,2022-03-07,BNP Paribas Open - Indian Wells,United States of America,2022-03-10,Pedro Martinez Portero,Joao Sousa,First Round,25,28,23,38,23,19,18,33
54a691a918871d14dd92ab9360c4ef68,2022-03-07,BNP Paribas Open - Indian Wells,United States of America,2022-03-10,Sebastian Korda,Thanasi Kokkinakis,First Round,22,18,14,21,12,17,9,16
632913eb6a217f65fdc28a146874006c,2022-03-07,BNP Paribas Open - Indian Wells,United States of America,2022-03-10,Tomas Machac,Alexei Popyrin,First Round,31,17,20,24,25,30,12,20
d8d11804bb006f67bbc88887b3487dba,2022-03-07,BNP Paribas Open - Indian Wells,United States of America,2022-03-11,Andy Murray,Taro Daniel,First Round,14,15,7,16,29,19,15,20
f24d070eb7bc312d55573248680389a9,2022-03-07,BNP Paribas Open - Indian Wells,United States of America,2022-03-11,Botic Van De Zandschulp,Tennys Sandgren,First Round,22,12,14,20,16,13,10,13
1d73a8ea8a83bc6e9c394761340c024a,2022-03-07,BNP Paribas Open - Indian Wells,United States of America,2022-03-11,Brandon Nakashima,Adrian Mannarino,First Round,20,21,12,17,15,27,3,8
ff90d9e307df98165ec58ecfc06ddb9f,2022-03-07,BNP Paribas Open - Indian Wells,United States of America,2022-03-11,Dominik Koepfer,Benoit Paire,First Round,22,31,8,20,38,49,16,27
cb29fb24645ef5d91d23ee17334ae219,2022-03-07,BNP Paribas Open - Indian Wells,United States of America,2022-03-11,Emil Ruusuvuori,Philipp Kohlschreiber,First Round,15,18,3,3,13,21,3,11
b3d7b40a11613997d898f6a7c012375f,2022-03-07,BNP Paribas Open - Indian Wells,United States of America,2022-03-11,Facundo Bagnis,Henri Laaksonen,First Round,12,9,5,7,27,33,5,8
d41e0ddd297d327dd2149ec2304d7879,2022-03-07,BNP Paribas Open - Indian Wells,United States of America,2022-03-11,Holger Rune,Ugo Humbert,First Round,11,9,5,5,12,25,4,9
a76df66748b025d7d2512906d289eb52,2022-03-07,BNP Paribas Open - Indian Wells,United States of America,2022-03-11,Jaume Antoni Munar Clar,Juncheng Shang,First Round,24,17,11,13,16,30,7,12
1584990bcb9c1669423c284ee213fc4e,2022-03-07,BNP Paribas Open - Indian Wells,United States of America,2022-03-11,John Millman,Jan-Lennard Struff,First Round,21,13,2,3,34,30,11,25
fefe275cc116c48c67f184b56322bab3,2022-03-07,BNP Paribas Open - Indian Wells,United States of America,2022-03-11,Jordan Thompson,David Goffin,First Round,28,37,19,27,30,34,11,20
2bc42724397cd9eeab74021089ef76cd,2022-03-07,BNP Paribas Open - Indian Wells,United States of America,2022-03-11,Kamil Majchrzak,Aljaz Bedene,First Round,19,6,9,10,22,24,5,6
0402f9404f491ed037b7abca65684c01,2022-03-07,BNP Paribas Open - Indian Wells,United States of America,2022-03-11,Miomir Kecmanovic,Liam Broady,First Round,31,24,12,21,36,29,18,22
368901452ae8111db6a1506a5c040254,2022-03-07,BNP Paribas Open - Indian Wells,United States of America,2022-03-11,Oscar Otte,Richard Gasquet,First Round,23,22,13,25,30,19,9,16
60c392a2039aafd9d51fb35857051fcc,2022-03-07,BNP Paribas Open - Indian Wells,United States of America,2022-03-11,Sam Querrey,Tallon Griekspoor,First Round,45,16,12,22,30,24,16,23
d44730d404129104a8eda9d79df008e3,2022-03-07,BNP Paribas Open - Indian Wells,United States of America,2022-03-11,Steve Johnson,Daniel Altmaier,First Round,29,21,23,23,24,20,13,19
60e195b93148a23940f4dcb17a290ccf,2022-03-07,BNP Paribas Open - Indian Wells,United States of America,2022-03-11,Tommy Paul,Mikhail Kukushkin,First Round,22,16,15,26,14,18,7,8
bd86cc917b3c61bbddb2de26343244f3,2022-03-07,BNP Paribas Open - Indian Wells,United States of America,2022-03-12,Benjamin Bonzi,Lorenzo Sonego,Second Round,18,10,17,22,27,23,11,16
80b58c9d337c95af4104bcb9822a2e94,2022-03-07,BNP Paribas Open - Indian Wells,United States of America,2022-03-12,Cameron Norrie,Pedro Martinez Portero,Second Round,16,8,11,14,18,27,8,14
22db5de3e91121ed51e74dc5eab40f8c,2022-03-07,BNP Paribas Open - Indian Wells,United States of America,2022-03-12,Carlos Alcaraz,Mackenzie Mcdonald,Second Round,22,20,19,26,12,22,11,24
4b7f8c49c8a6bd85294eb76477799aa2,2022-03-07,BNP Paribas Open - Indian Wells,United States of America,2022-03-12,Casper Ruud,Christopher Eubanks,Second Round,17,9,6,8,30,15,17,26
