match_id,player,row,returnable,shallow,deep,very_deep,unforced,err_net,err_deep,err_wide,err_wide_deep
20241229-M-United_Cup-RR-Thiago_Monteiro-Alexander_Zverev,Thiago Monteiro,Total,25,9,13,5,3,1,1,1,0
20241229-M-United_Cup-RR-Thiago_Monteiro-Alexander_Zverev,Thiago Monteiro,v1st,12,6,6,2,0,0,0,0,0
20241229-M-United_Cup-RR-Thiago_Monteiro-Alexander_Zverev,Thiago Monteiro,v2nd,13,3,7,3,3,1,1,1,0
20241229-M-United_Cup-RR-Thiago_Monteiro-Alexander_Zverev,Thiago Monteiro,fh,10,2,8,4,0,0,0,0,0
20241229-M-United_Cup-RR-Thiago_Monteiro-Alexander_Zverev,Thiago Monteiro,bh,15,7,5,1,3,1,1,1,0
20241229-M-United_Cup-RR-Thiago_Monteiro-Alexander_Zverev,Thiago Monteiro,gs,14,4,7,3,3,1,1,1,0
20241229-M-United_Cup-RR-Thiago_Monteiro-Alexander_Zverev,Thiago Monteiro,sl,11,5,6,2,0,0,0,0,0
20241229-M-United_Cup-RR-Thiago_Monteiro-Alexander_Zverev,Thiago Monteiro,D,16,7,8,1,1,1,0,0,0
20241229-M-United_Cup-RR-Thiago_Monteiro-Alexander_Zverev,Thiago Monteiro,A,9,2,5,4,2,0,1,1,0
20241229-M-United_Cup-RR-Thiago_Monteiro-Alexander_Zverev,Thiago Monteiro,4,14,5,8,2,1,1,0,0,0
20241229-M-United_Cup-RR-Thiago_Monteiro-Alexander_Zverev,Thiago Monteiro,5,3,2,1,1,0,0,0,0,0
20241229-M-United_Cup-RR-Thiago_Monteiro-Alexander_Zverev,Thiago Monteiro,6,8,2,4,2,2,0,1,1,0
20241229-M-United_Cup-RR-Thiago_Monteiro-Alexander_Zverev,Thiago Monteiro,4D,11,5,5,0,1,1,0,0,0
20241229-M-United_Cup-RR-Thiago_Monteiro-Alexander_Zverev,Thiago Monteiro,4A,3,0,3,2,0,0,0,0,0
20241229-M-United_Cup-RR-Thiago_Monteiro-Alexander_Zverev,Thiago Monteiro,5D,2,1,1,1,0,0,0,0,0
20241229-M-United_Cup-RR-Thiago_Monteiro-Alexander_Zverev,Thiago Monteiro,5A,1,1,0,0,0,0,0,0,0
20241229-M-United_Cup-RR-Thiago_Monteiro-Alexander_Zverev,Thiago Monteiro,6D,3,1,2,0,0,0,0,0,0
20241229-M-United_Cup-RR-Thiago_Monteiro-Alexander_Zverev,Thiago Monteiro,6A,5,1,2,2,2,0,1,1,0
20241229-M-United_Cup-RR-Thiago_Monteiro-Alexander_Zverev,Alexander Zverev,Total,35,9,24,11,2,0,0,1,0
20241229-M-United_Cup-RR-Thiago_Monteiro-Alexander_Zverev,Alexander Zverev,v1st,17,6,11,5,0,0,0,0,0
20241229-M-United_Cup-RR-Thiago_Monteiro-Alexander_Zverev,Alexander Zverev,v2nd,18,3,13,6,2,0,0,1,0
20241229-M-United_Cup-RR-Thiago_Monteiro-Alexander_Zverev,Alexander Zverev,fh,17,3,13,6,1,0,0,0,0
20241229-M-United_Cup-RR-Thiago_Monteiro-Alexander_Zverev,Alexander Zverev,bh,18,6,11,5,1,0,0,1,0
20241229-M-United_Cup-RR-Thiago_Monteiro-Alexander_Zverev,Alexander Zverev,gs,29,5,22,9,2,0,0,1,0
20241229-M-United_Cup-RR-Thiago_Monteiro-Alexander_Zverev,Alexander Zverev,sl,6,4,2,2,0,0,0,0,0
