ID_P,TURNED_PRO,WEIGHT,HEIGHT,BIRTHPLACE,RESIDENCE,PLAYS,COACH,SITE,PAGE,TWITTER,FACEBOOK,INSTAGRAM,LAST_REVISED
1,"Pro(Jan.1989)/Retired(Nov.2001)",58,173,"Bruchsal, Germany","Salzburg, Austria","Right-handed (two-handed backhand)",,,"http://www.wtatennis.com/player-profile/80150",,,,"01.01.2023"
2,"Pro",58,168,"Bologna, Italy","Bologna, Italy","Left-handed (two-handed forehand and backhand)",,,"http://www.wtatennis.com/player-profile/120227",,,,"01.01.2023"
3,,,,,,,,,"http://www.wtatennis.com/player-profile/70052",,,,"01.01.2023"
4,"Pro(1994)",60,172,"Antwerp, Belgium","Antwerp, Belgium","Right-handed",,,"http://www.wtatennis.com/players/40203/stephanie-de-ville",,,,"01.01.2023"
5,,,,,,,,,"http://www.wtatennis.com/player-profile/130032",,,,"01.01.2023"
6,,,,,,,,,"http://www.wtatennis.com/players/80364/rewa-harriman",,,,"01.01.2023"
7,"Pro",56,163,"Madrid, Spain","Barcelona, Spain","Left-handed",,,"http://www.wtatennis.com/player-profile/120176",,,,"01.01.2023"
8,,,,,,,,,"http://www.wtatennis.com/player-profile/120002",,,,"01.01.2023"
9,,,,,,,,,"http://www.wtatennis.com/player-profile/80015",,,,"01.01.2023"
10,"Pro(1994)",60,165,"Antananarivo, Madagascar","Antananarivo, Madagascar","Right-handed (two-handed backhand)",,,"http://www.wtatennis.com/player-profile/180234",,,,"01.01.2023"
11,"Pro(Feb.1990)",63,169,"Joliet, Illinois, USA","Bradenton, Florida, USA","Right-handed (two-handed backhand)",,,"http://www.wtatennis.com/player-profile/30166",,,,"01.01.2023"
12,,,,,,,,,"http://www.wtatennis.com/player-profile/30196",,,,"01.01.2023"
13,"Pro(1986)",56,165,"Milan, Italy","Milan, Italy","Right-handed",,,"http://www.wtatennis.com/player-profile/70029",,,,"01.01.2023"
14,"Pro",61,173,"Oklahoma City, OK, USA","Dunwoody, GA, USA","Right-handed (two-handed backhand)",,,"http://www.wtatennis.com/player-profile/120281",,,,"01.01.2023"
15,"Pro(1994)",63,165,"Los Angeles, CA, USA","Bangkok, Thailand","Right-handed (two-handed backhand)",,,"http://www.wtatennis.com/player-profile/200137","https://twitter.com/tammytamarine","https://www.facebook.com/TamarineTanasugarn/","https://www.instagram.com/tamarine_tammy/","01.01.2023"
16,"Pro(1991)",60,176,"St. Cloud, France","Nantes, France","Right-handed (two-handed backhand)",,,"http://www.wtatennis.com/player-profile/60127",,,,"01.01.2023"
17,"Pro(June1991)/Retired(Oct.2000)",55,170,"Verviers, Belgium","Leuven, Belgium","Right-handed",,,"http://www.wtatennis.com/player-profile/130270",,,,"01.01.2023"
18,"Pro(Sept.1991)",44,157,"Beirut, Lebanon","Matsudo, Japan","Right-handed (two-handed forehand and backhand)",,,"http://www.wtatennis.com/player-profile/80037",,,,"01.01.2023"
19,"Pro(1991)",56,169,"Bratislava, Slovakia","Bratislava, Slovakia","Right-handed (two-handed backhand)",,,"http://www.wtatennis.com/player-profile/80219",,,"https://www.instagram.com/janette_husarova/","01.01.2023"
20,"Pro",60,171,"Pamplona, Spain","Valencia, Spain","Right-handed (two-handed backhand)",,,"http://www.wtatennis.com/player-profile/200122",,,,"01.01.2023"
21,,,,,,,,,"http://www.wtatennis.com/player-profile/160106",,,,"01.01.2023"
22,"Pro(April1,1994)",51,160,"Tettori-pref, Japan","Yokohama, Japan","Right-handed (two-handed backhand)",,,"http://www.wtatennis.com/player-profile/250047",,,,"01.01.2023"
23,"Pro",56,174,"Heidelberg, Germany","Ulm, Germany","Right-handed (two-handed backhand)",,,"http://www.wtatennis.com/player-profile/230202",,,,"01.01.2023"
24,"Pro(1992)",67,176,"Innsbruck, Austria","Innsbruck, Austria","Right-handed (two-handed backhand)",,"http://www.barbaraschett.com/","http://www.wtatennis.com/player-profile/190349","https://twitter.com/babsschett","https://www.facebook.com/BarbaraSchettOfficial/","https://www.instagram.com/babsschett/","01.01.2023"
25,,,,,,,,,"http://www.wtatennis.com/player-profile/110053",,,,"01.01.2023"
26,,,,,,,,,"http://www.wtatennis.com/player-profile/40023",,,,"01.01.2023"
27,,,,,,,,,"http://www.wtatennis.com/players/80064/patricia-hy-boulais",,,,"01.01.2023"
28,,,,,,,,,"http://www.wtatennis.com/player-profile/230117",,,,"01.01.2023"
29,,,,,,,,,"http://www.wtatennis.com/player-profile/160200",,,,"01.01.2023"
30,,,,,,,,,"http://www.wtatennis.com/player-profile/150084",,,,"01.01.2023"
31,,,,,,,,,"http://www.wtatennis.com/player-profile/80023",,,,"01.01.2023"
