ID1_G,ID2_G,ID_T_G,ID_R_G,RESULT_G,DATE_G
1,2,1,4,"6-4 6-1",
3,4,1,4,"6-2 6-2",
5,6,1,4,"6-3 6-4",
7,8,1,4,"6-1 6-0",
9,10,1,4,"6-4 4-6 11-9",
11,12,1,4,"5-7 6-2 10-2",
13,14,1,4,"6-2 6-2",
15,16,1,4,"7-6(5) 6-4",
17,18,1,4,"6-4 6-2",
19,20,1,4,"6-1 6-4",
21,22,1,4,"6-2 7-6(0)",
23,24,1,4,"6-4 6-3",
25,26,1,4,"3-6 6-1 10-3",
27,28,1,4,"6-4 4-6 10-3",
29,30,1,4,"6-1 6-7(1) 10-6",
31,32,1,4,"6-4 6-4",
1,3,1,5,"w/o",
5,7,1,5,"2-6 7-5 10-5",
9,11,1,5,"w/o",
13,15,1,5,"6-4 6-7(0) 10-5",
17,19,1,5,"6-2 7-6(6)",
21,23,1,5,"6-0 7-6(2)",
27,25,1,5,"7-5 6-3",
31,29,1,5,"6-3 6-2",
1,5,1,9,"5-7 6-4 10-6",
13,9,1,9,"4-6 6-3 10-7",
17,21,1,9,"3-6 6-3 10-7",
31,27,1,9,"6-1 6-2",
13,1,1,10,"3-6 6-4 10-7",
17,31,1,10,"3-6 6-4 10-6",
17,13,1,12,"6-3 6-2",
24,33,2,4,"6-2 2-6 6-4",
34,35,2,4,"6-3 6-1",
36,37,2,4,"3-6 7-5 6-2",
38,18,2,4,"6-3 6-2",
39,40,2,4,"6-4 6-7(7) 6-4",
41,42,2,4,"7-5 2-6 6-4",
26,43,2,4,"6-7(3) 6-1 6-1",
17,44,2,4,"6-4 6-1",
45,46,2,4,"7-6(2) 5-7 6-2",
47,48,2,4,"3-6 6-3 6-4",
49,50,2,4,"6-3 3-6 6-3",
31,51,2,4,"6-1 5-7 6-3",
21,2,2,4,"7-6(8) 7-5",
52,53,2,4,"6-1 6-0",
54,55,2,4,"6-2 4-6 6-3",
1,56,2,4,"7-5 5-7 6-4",
24,34,2,5,"6-2 6-0",
36,38,2,5,"6-2 7-5",
41,39,2,5,"6-3 7-6(2)",
17,26,2,5,"7-6(8) 6-7(5) 6-1",
45,47,2,5,"6-7(3) 6-4 6-4",
31,49,2,5,"6-4 4-6 6-2",
21,52,2,5,"7-5 6-2",
1,54,2,5,"6-2 1-6 6-1",
24,36,2,9,"6-2 6-1",
41,17,2,9,"5-7 7-6(5) 6-3",
45,31,2,9,"5-7 6-3 6-4",
21,1,2,9,"6-2 6-3",
41,24,2,10,"6-3 6-3",
