ID,LANG_ID,CATEGORY,NAME,LINK
2,1,"Теннисные форумы","Форум на betcraft.com","http://www.betcraft.com/forum/index.php"
3,1,"Теннисные форумы","Форум на byw.ru","http://www.byw.ru"
7,1,"Аналитика и новости","Теннис в России","http://www.tennis-russia.ru"
11,8,"Tennis news","Yahoo! Tennis","http://sports.yahoo.com/ten"
12,8,"Official sites","ATP Tour","http://www.atptour.com"
14,8,"Official sites","Davis Cup","http://www.daviscup.com"
16,8,"Statistics","ATP Tour Rankings and Results Page","http://www.stevegtennis.com"
17,1,"Ставки на теннис","Betcraft.com - Спорт и деньги","http://www.betcraft.com"
21,8,"Official sites","Fed Cup","http://www.fedcup.com"
22,8,"Official sites","WTA Tour","http://www.wtatour.com"
23,8,"Grand Slam Tournaments","Australian Open","http://www.ausopen.org"
24,8,"Grand Slam Tournaments","French Open","http://www.frenchopen.org"
25,8,"Grand Slam Tournaments","Wimbledon","http://www.wimbledon.org"
26,8,"Grand Slam Tournaments","U.S. Open","http://www.usopen.org"
27,8,"Official sites","ITF Tennis","http://www.itftennis.com"
29,1,"Теннисные форумы","ATPtour.ru","http://www.atptour.ru"
33,8,"Live","Live Score","http://www.livescore.net/tennis.dll"
34,8,"Betting","Betting Advice","http://www.bettingadvice.com"
36,8,"Betting","Major Wager","http://www.majorwager.com/home.cfm"
41,8,"Tennis forums","WTA World","http://www.wtaworld.com"
42,8,"Tennis forums","ATP World","http://www.menstennisforums.com"
45,8,"Betting","Sportpunter Tennis Betting","http://www.sportpunter.com"
57,1,"Теннисные форумы","WTAtour.ru","http://www.wtatour.ru"
58,1,"Ставки на теннис","TennisBetting","http://www.tennisbetting.ru"
59,1,"Аналитика и новости","Всероссийский теннисный портал","http://www.gotennis.ru"
60,1,"Аналитика и новости","Новости мирового тенниса","http://www.privateinv.com"
61,1,"Аналитика и новости","TennisWeekend","http://www.tennisweekend.ru"
62,1,"Аналитика и новости","Портал ""Теннис""","http://tennis.report.ru"
63,1,"Аналитика и новости","История, правила, новости тенниса","http://www.sportdosug.ru"
64,8,"Betting","BetBrain","http://www.betbrain.com"
66,8,"Online Sportsbooks","Pinnacle Sports","http://www.pinnaclesports.com/default.asp?language=British&LExt=bri&refer=xoncourt"
70,8,"Betting","TennisForm","http://www.tennisform.com/"
