id_p,tm,tmw,tml,aces,df,fs,wfs,wss,bps,bpw,fsp,fssp
13094,65,38,27,135,214,65,64,46,58,47,188,157
47742,54,34,20,156,370,58,64,43,54,46,185,164
13498,52,32,20,239,247,56,71,45,54,43,185,169
5416,45,30,15,125,183,64,66,43,60,45,185,159
11672,36,24,12,135,98,68,65,46,60,43,183,161
18482,28,21,7,101,59,61,69,49,60,46,181,161
11371,48,30,18,156,122,61,65,47,57,47,181,163
14175,61,38,23,208,314,56,70,46,58,44,181,165
17155,71,41,30,165,117,65,62,47,54,42,173,154
66597,46,28,18,218,197,60,70,47,59,45,181,164
24368,49,26,23,230,243,50,70,47,56,45,196,171
14054,51,26,25,289,295,58,69,42,57,43,178,166
12390,62,40,22,89,103,70,61,50,58,51,159,143
6740,46,27,19,148,177,61,67,47,57,45,178,160
49081,56,31,25,138,257,64,64,45,57,44,170,148
13541,38,23,15,125,134,59,68,46,61,47,185,166
37266,44,22,22,113,190,58,61,47,53,46,184,159
13351,52,27,25,184,249,55,67,46,53,45,190,164
40156,48,26,22,112,234,55,65,43,59,43,173,156
41564,34,21,13,113,158,60,62,48,57,49,180,161
47152,55,29,26,131,179,62,62,48,56,44,178,158
9357,58,31,27,195,108,61,64,47,59,43,174,157
32168,27,16,11,81,129,62,62,44,53,50,177,159
38478,57,38,19,277,194,58,70,49,62,43,183,163
7982,35,20,15,250,240,64,68,42,63,43,194,166
11449,30,16,14,120,56,56,70,47,54,44,178,158
54123,53,29,24,31,138,70,58,46,55,47,162,142
24572,49,27,22,119,142,62,64,45,53,44,167,151
17501,60,35,25,101,297,61,62,44,51,48,185,155
17062,69,46,23,204,168,61,62,48,57,47,184,149
53793,47,24,23,112,148,65,60,47,51,48,185,149
10455,34,17,17,257,108,59,70,46,56,39,190,167
37410,59,32,27,128,84,60,62,47,55,42,177,157
54989,61,33,28,372,279,57,70,45,57,47,185,166
39749,57,38,19,129,249,62,63,47,58,47,186,159
54664,52,27,25,77,163,66,62,46,57,45,173,150
12432,65,33,32,88,189,65,60,46,52,46,170,145
57090,74,50,24,92,395,61,62,44,52,47,178,149
52254,75,49,26,239,349,57,65,46,53,46,169,156
16043,46,22,24,63,156,62,60,44,49,42,168,152
53487,36,23,13,145,124,65,65,46,63,45,178,156
16430,40,22,18,266,109,54,74,50,59,45,191,173
52790,70,46,24,46,119,78,58,45,57,47,170,141
44040,56,34,22,60,280,65,59,42,51,51,172,146
45072,72,38,34,119,272,57,63,47,54,47,165,147
12882,46,23,23,113,138,60,63,47,57,41,179,157
51151,59,33,26,281,164,56,67,49,55,39,190,162
64343,55,29,26,171,271,63,64,44,55,44,183,170
13706,59,36,23,88,113,71,60,45,56,47,181,152
44510,57,29,28,77,161,65,59,47,52,44,177,160
48900,60,38,22,134,194,57,65,47,55,47,173,154
13621,44,24,20,243,106,65,66,50,59,39,188,157
6019,28,12,16,99,55,61,62,44,55,40,173,158
5600,29,16,13,52,73,63,64,45,60,47,172,151
14259,61,37,24,255,306,60,65,43,59,45,174,158
16119,43,18,25,156,90,61,64,46,49,47,186,165
27032,65,31,34,116,166,62,61,45,57,45,177,150
10033,41,19,22,31,64,72,59,47,53,39,175,149
18403,80,50,30,66,148,71,59,50,55,50,157,139
6933,70,37,33,164,246,68,62,45,54,45,189,156
34747,55,25,30,97,259,62,60,41,52,45,192,157
