ID_P_S,ID_T_S,SEEDING
6,1600,"1  "
219,1600,"q  "
275,1600,"WC "
48,1600,"7  "
115,1600,"5  "
114,1600,"WC "
181,1600,"3  "
37,1600,"q  "
35,1600,"4  "
4502,1600,"q  "
4503,1600,"6  "
61,1600,"8  "
23,1600,"q  "
127,1600,"2  "
179,1601,"1  "
223,1601,"q  "
82,1601,"8  "
224,1601,"6WC"
53,1601,"WC "
14,1601,"3  "
27,1601,"q  "
246,1601,"4  "
132,1601,"5  "
125,1601,"WC "
160,1601,"7  "
215,1601,"q  "
307,1601,"q  "
218,1601,"2  "
224,1602,"1  "
1197,1602,"WC "
328,1602,"q  "
4510,1602,"WC "
130,1602,"7  "
138,1602,"6  "
1069,1602,"q  "
340,1602,"q  "
259,1602,"4  "
4511,1602,"q  "
131,1602,"3  "
766,1602,"WC "
29,1602,"5  "
180,1602,"8  "
160,1602,"2  "
14,1603,"1  "
4512,1603,"q  "
66,1603,"8  "
11,1603,"6  "
1211,1603,"WC "
35,1603,"3  "
4503,1603,"4  "
4500,1603,"q  "
149,1603,"WC "
107,1603,"5  "
167,1603,"q  "
33,1603,"7  "
403,1603,"WC "
274,1603,"q  "
147,1603,"2  "
139,1604,"1  "
5,1604,"LL "
9,1604,"q  "
40,1604,"7  "
219,1604,"LL "
82,1604,"6  "
81,1604,"WC "
257,1604,"q  "
114,1604,"WC "
162,1604,"3  "
31,1604,"5  "
25,1604,"8  "
105,1604,"WC "
214,1604,"q  "
561,1604,"q  "
42,1604,"2  "
4,1605,"1  "
289,1605,"LL "
275,1605,"q  "
37,1605,"q  "
155,1605,"WC "
224,1605,"16 "
139,1605,"10 "
219,1605,"q  "
4514,1605,"WC "
14,1605,"7  "
6,1605,"6  "
201,1605,"LL "
156,1605,"WC "
162,1605,"12 "
225,1605,"LL "
144,1605,"q  "
218,1605,"4  "
179,1605,"3  "
464,1605,"q  "
159,1605,"q  "
223,1605,"q  "
272,1605,"q  "
274,1605,"q  "
60,1605,"14 "
42,1605,"11 "
313,1605,"q  "
255,1605,"WC "
5,1605,"q  "
32,1605,"5  "
104,1605,"8  "
561,1605,"WC "
157,1605,"WC "
383,1605,"q  "
20,1605,"9  "
31,1605,"15 "
55,1605,"WC "
178,1605,"WC "
195,1605,"q  "
4516,1605,"q  "
287,1605,"q  "
3,1605,"2  "
198,1605,"q  "
136,1606,"1  "
237,1606,"q  "
239,1606,"q  "
235,1606,"8  "
167,1606,"5  "
329,1606,"q  "
151,1606,"4  "
305,1606,"3  "
407,1606,"WC "
215,1606,"6  "
462,1606,"q  "
175,1606,"7  "
314,1606,"WC "
321,1606,"WC "
9,1606,"2  "
139,1607,"1  "
310,1607,"WC "
189,1607,"8  "
4519,1607,"q  "
120,1607,"5WC"
389,1607,"q  "
28,1607,"4  "
118,1607,"3WC"
1312,1607,"q  "
292,1607,"q  "
4503,1607,"6  "
131,1607,"7  "
162,1607,"2  "
178,1608,"LL "
179,1608,"1  "
275,1608,"q  "
201,1608,"q  "
45,1608,"WC "
160,1608,"8  "
62,1608,"6  "
183,1608,"q  "
292,1608,"q  "
104,1608,"3  "
139,1608,"4  "
4520,1608,"WC "
20,1608,"5  "
53,1608,"WC "
60,1608,"7  "
14,1608,"2  "
6,1609,"1  "
231,1609,"q  "
29,1609,"8  "
4521,1609,"WC "
4503,1609,"6  "
4522,1609,"WC "
367,1609,"q  "
127,1609,"3  "
128,1609,"q  "
35,1609,"4  "
44,1609,"5  "
413,1609,"q  "
39,1609,"7  "
313,1609,"WC "
70,1609,"2  "
