TOUR,DATE_GAME,ID1,ID2,ROUND,DRAW,RESULT,COMPLETE,LIVE,TIME_GAME,RESERVE_INT,RESERVE_CHAR
15956,"03/16/25 18:00:00",26356,45192,1,23,"7-5 6-1",,,,,
15956,"03/16/25 18:00:00",13839,79778,1,2,"6-7(1) 6-1 6-1",,,,,
15956,,18455,3700,4,1,"bye",,,,,
15956,"03/18/25 18:00:00",12432,41569,4,2,"6-3 2-6 6-3",,,,,
15956,"03/18/25 22:00:00",17774,60791,4,3,"6-1 6-7(5) 6-2",,,,,
15956,,3700,17155,4,4,"bye",,,,,
15956,,13498,3700,4,5,"bye",,,,,
15956,"03/19/25 00:00:00",28732,26356,4,6,"6-7(4) 6-4 7-5",,,,,
15956,"03/18/25 20:30:00",6019,54664,4,7,"6-3 7-6(5)",,,,,
15956,,3700,11575,4,8,"bye",,,,,
15956,,53128,3700,4,9,"bye",,,,,
15956,"03/18/25 22:00:00",12205,61481,4,10,"6-4 3-6 6-4",,,,,
15956,"03/19/25 00:00:00",13621,45866,4,11,"3-6 6-4 6-2",,,,,
15956,,3700,12390,4,12,"bye",,,,,
15956,,49081,3700,4,13,"bye",,,,,
15956,"03/18/25 18:00:00",45540,44510,4,14,"3-6 7-6(0) 6-3",,,,,
15956,,3700,36558,4,16,"bye",,,,,
15956,,54663,3700,4,17,"bye",,,,,
15956,"03/18/25 22:00:00",23432,8234,4,18,"6-4 7-5",,,,,
15956,,3700,13541,4,20,"bye",,,,,
15956,,14054,3700,4,21,"bye",,,,,
15956,"03/18/25 18:00:00",9357,6740,4,22,"7-6(3) 6-2",,,,,
15956,"03/16/25 22:40:00",30451,49991,1,7,"6-3 1-6 6-1",,,,,
15956,"03/16/25 23:55:00",28732,49995,1,20,"3-6 6-4 6-2",,,,,
16073,"03/23/25 13:20:00",27035,18083,1,7,"6-4 7-6(4)",,,,,
15956,"03/23/25 18:00:00",11371,18482,6,15,"6-2 3-6 6-2",,,,,
16116,"03/23/25 18:25:00",54677,57898,1,12,"6-3 6-2",,,,,
16118,"03/23/25 17:40:00",28436,89094,1,10,"6-2 6-3",,,,,
16121,,86890,80973,1,6,"6-3 6-1",,,,,
16122,,82020,86538,1,30,"6-2 6-4",,,,,
16124,,87582,59189,1,6,"6-2 1-0 ret.",,,,,
16123,,99898,99897,4,1,"7-6(5) 6-4",,,,,
16123,,99751,99899,4,2,"6-3 6-4",,,,,
16123,,99900,99753,4,3,"6-3 6-1",,,,,
16123,,99758,99901,4,4,"6-2 6-4",,,,,
16123,,99903,99902,4,5,"6-1 6-0",,,,,
16123,,99756,99904,4,6,"7-6(2) 6-3",,,,,
16123,,99752,99905,4,7,"3-6 6-4 10-7",,,,,
16123,,96317,79942,4,8,"6-4 6-1",,,,,
16123,,99898,99751,9,1,"6-3 6-4",,,,,
16123,,99758,99900,9,2,"4-6 6-2 10-5",,,,,
16123,,99756,99903,9,3,"6-4 6-3",,,,,
15956,"03/18/25 22:00:00",65912,27804,4,23,"7-5 4-6 6-3",,,,,
15956,,3700,13094,4,24,"bye",,,,,
15956,,17503,3700,4,25,"bye",,,,,
15956,"03/19/25 00:00:00",48254,39749,4,26,"6-3 6-7(5) 6-1",,,,,
15956,"03/18/25 20:30:00",16430,41888,4,27,"3-6 6-4 6-3",,,,,
15956,,3700,24368,4,28,"bye",,,,,
15956,,11449,3700,4,29,"bye",,,,,
15956,"03/18/25 18:00:00",17501,37410,4,30,"6-2 2-6 7-6(4)",,,,,
15956,,3700,14362,4,32,"bye",,,,,
15956,,42098,3700,4,33,"bye",,,,,
15956,"03/19/25 19:00:00",53487,79059,4,34,"6-2 6-1",,,,,
15956,"03/19/25 19:30:00",48900,24572,4,35,"6-4 2-6 6-4",,,,,
15956,,3700,66597,4,36,"bye",,,,,
15956,,41564,3700,4,37,"bye",,,,,
15956,"03/19/25 18:00:00",16119,47152,4,39,"6-2 7-6(5)",,,,,
15956,,3700,77934,4,40,"bye",,,,,
15956,,65911,3700,4,41,"bye",,,,,
15956,"03/19/25 18:00:00",34747,45072,4,42,"4-6 6-3 6-2",,,,,
15956,"03/19/25 18:00:00",18427,40156,4,43,"3-6 6-3 7-6(5)",,,,,
15956,,3700,47742,4,44,"bye",,,,,
15956,,32480,3700,4,45,"bye",,,,,
15956,"03/19/25 21:00:00",52254,39908,4,46,"6-4 6-3",,,,,
15956,"03/19/25 19:30:00",14259,9503,4,47,"6-3 6-2",,,,,
15956,,3700,11712,4,48,"bye",,,,,
15956,,11672,3700,4,49,"bye",,,,,
15956,"03/19/25 19:30:00",54123,69652,4,50,"6-1 6-7(4) 6-4",,,,,
15956,,3700,16628,4,52,"bye",,,,,
15956,,54989,3700,4,53,"bye",,,,,
15956,"03/19/25 21:00:00",16134,84377,4,54,"6-4 6-4",,,,,
15956,,3700,17142,4,56,"bye",,,,,
15956,,18482,3700,4,57,"bye",,,,,
15956,"03/20/25 02:00:00",5416,16043,4,58,"6-3 6-1",,,,,
15956,"03/20/25 00:30:00",14056,37266,4,59,"6-4 1-6 7-5",,,,,
