ID_T,NAME_T,ID_C_T,DATE_T,RANK_T,LINK_T,COUNTRY_T,PRIZE_T,RATING_T,URL_T,LATITUDE_T,LONGITUDE_T,SITE_T,RACE_T,ENTRY_T,SINGLES_T,DOUBLES_T,TIER_T,RESERVE_INT_T,RESERVE_CHAR_T,LIVE_T,RESULT_T
1,"Australian Open - Melbourne",1,"01/14/02 00:00:00",4,,"AUS",,,"http://www.australianopen.com/",-37.49,144.58,,,,,,"Grand Slam",,,,
2,"French Open - Paris",2,"05/27/02 00:00:00",4,,"FRA",,,"http://www.rolandgarros.com/",48.52,2.2,,,,,,"Grand Slam",,,,
3,"Wimbledon - London",5,"06/24/02 00:00:00",4,,"GBR",,,"http://www.wimbledon.org/",51.3,-0.1,,,,,,"Grand Slam",,,,
4,"U.S. Open - New York",1,"08/26/02 00:00:00",4,,"USA",,,"http://www.usopen.org/",40.43,-74,,,,,,"Grand Slam",,,,
5,"Australian Open - Melbourne",1,"01/13/03 00:00:00",4,1,"AUS",,,"http://www.australianopen.com/",-37.49,144.58,,,,,,"Grand Slam",,,,
6,"French Open - Paris",2,"05/26/03 00:00:00",4,2,"FRA",,,"http://www.rolandgarros.com/",48.52,2.2,,,,,,"Grand Slam",,,,
7,"Wimbledon - London",5,"06/23/03 00:00:00",4,3,"GBR",,,"http://www.wimbledon.org/",51.3,-0.1,,,,,,"Grand Slam",,,,
8,"U.S. Open - New York",1,"08/25/03 00:00:00",4,4,"USA",,,"http://www.usopen.org/",40.43,-74,,,,,,"Grand Slam",,,,
9,"Australian Open - Melbourne",1,"01/19/04 00:00:00",4,5,"AUS",,,"http://www.australianopen.com/",-37.49,144.58,,,,,,"Grand Slam",,,,
10,"French Open - Paris",2,"05/24/04 00:00:00",4,6,"FRA",,,"http://www.rolandgarros.com/",48.52,2.2,,,,,,"Grand Slam",,,,
11,"Wimbledon - London",5,"06/21/04 00:00:00",4,7,"GBR",,,"http://www.wimbledon.org/",51.3,-0.1,,,,,,"Grand Slam",,,,
12,"U.S. Open - New York",1,"08/30/04 00:00:00",4,8,"USA",,,"http://www.usopen.org/",40.43,-74,,,,,,"Grand Slam",,,,
13,"Australian Open - Melbourne",1,"01/17/05 00:00:00",4,9,"AUS",,,"http://www.australianopen.com/",-37.49,144.58,,,,,,"Grand Slam",,,,
14,"French Open - Paris",2,"05/23/05 00:00:00",4,10,"FRA",,,"http://www.rolandgarros.com/",48.52,2.2,,,,,,"Grand Slam",,,,
15,"Wimbledon - London",5,"06/20/05 00:00:00",4,11,"GBR",,,"http://www.wimbledon.org/",51.3,-0.1,,,,,,"Grand Slam",,,,
16,"U.S. Open - New York",1,"08/29/05 00:00:00",4,12,"USA",,,"http://www.usopen.org/",40.43,-74,,,,,,"Grand Slam",,,,
17,"Australian Open - Melbourne",1,"01/16/06 00:00:00",4,13,"AUS",,,"http://www.australianopen.com/",-37.49,144.58,,,,,,"Grand Slam",,,,
18,"French Open - Paris",2,"05/29/06 00:00:00",4,14,"FRA",,,"http://www.rolandgarros.com/",48.52,2.2,,,,,,"Grand Slam",,,,
19,"Wimbledon - London",5,"06/26/06 00:00:00",4,15,"GBR",,,"http://www.wimbledon.org/",51.3,-0.1,,,,,,"Grand Slam",,,,
20,"U.S. Open - New York",1,"08/28/06 00:00:00",4,16,"USA",,,"http://www.usopen.org/",40.43,-74,,,,,,"Grand Slam",,,,
21,"Australian Open - Melbourne",1,"01/15/07 00:00:00",4,17,"AUS",,,"http://www.australianopen.com/",-37.49,144.58,,,,,,"Grand Slam",,,,
22,"French Open - Paris",2,"05/28/07 00:00:00",4,18,"FRA",,,"http://www.rolandgarros.com/",48.52,2.2,,,,,,"Grand Slam",,,,
23,"Wimbledon - London",5,"06/25/07 00:00:00",4,19,"GBR",,,"http://www.wimbledon.org/",51.3,-0.1,,,,,,"Grand Slam",,,,
24,"U.S. Open - New York",1,"08/27/07 00:00:00",4,20,"USA",,,"http://www.usopen.org/",40.43,-74,,,,,,"Grand Slam",,,,
