ID_P,TURNED_PRO,WEIGHT,HEIGHT,BIRTHPLACE,RESIDENCE,PLAYS,COACH,SITE,PAGE,TWITTER,FACEBOOK,INSTAGRAM,LAST_REVISED
1,"1995",83,191,"Florianopolis, Brazil","Florianopolis, Brazil","Right-Handed, One-Handed Backhand","Larri Passos","http://www.guga.com.br","http://www.atpworldtour.com/en/players/gustavo-kuerten/k293/overview","https://twitter.com/gugakuerten","https://www.facebook.com/gustavokuerten/","https://www.instagram.com/gugakuerten/","01.01.2023"
2,"1997",88,193,"Moscow, Russia","Monte Carlo, Monaco","Right-Handed, Two-Handed Backhand","Hernan Gumy",,"http://www.atpworldtour.com/en/players/marat-safin/s741/overview","https://twitter.com/safin_marat1","https://www.facebook.com/Marat-Safin-389756561146538/","https://www.instagram.com/flymonkeyrus/","01.01.2023"
3,"1986",80,180,"Las Vegas, Nevada, USA","Las Vegas, Nevada, USA","Right-Handed, Two-Handed Backhand","Darren Cahill",,"http://www.atpworldtour.com/en/players/andre-agassi/a092/overview","https://twitter.com/AndreAgassi","https://www.facebook.com/AgassiAndre","https://www.instagram.com/agassi/","01.01.2023"
4,"1988",77,185,"Washington, D.C., USA","Los Angeles, California, USA","Right-Handed, One-Handed Backhand","Paul Annacone","http://www.petesampras.com","http://www.atpworldtour.com/en/players/pete-sampras/s402/overview","https://twitter.com/petesampras","https://www.facebook.com/petesampras","https://www.instagram.com/petesamprasofficial/","01.01.2023"
5,"1995",89,188,"Filipstad, Sweden","Stockholm, Sweden","Right-Handed, Two-Handed Backhand",,,"http://www.atpworldtour.com/en/players/magnus-norman/n250/overview","https://twitter.com/normansweden",,"https://www.instagram.com/swedennorman","01.01.2023"
6,"1992",84,191,"Sochi, Russia","Sochi, Russia","Right-Handed, Two-Handed Backhand",,"http://www.yevgenykafelnikov.com","http://www.atpworldtour.com/en/players/yevgeny-kafelnikov/k267/overview","https://twitter.com/KYevgeni","https://www.facebook.com/Yevgeny-Kafelnikov-20029171983/","https://www.instagram.com/yevgenykafelnikov/","01.01.2023"
7,"1998",77,178,"Adelaide, Australia","Melbourne, Australia","Right-Handed, Two-Handed Backhand","Tony Roche, Jaymon Crabb",,"http://www.atpworldtour.com/en/players/lleyton-hewitt/h432/overview","https://twitter.com/lleytonhewitt","https://www.facebook.com/Lleyton-Hewitt-26580125015/","https://www.instagram.com/lleytonhewitt89/","01.01.2023"
8,"1991",86,185,"Mount Isa, QSLD, Australia","Pembroke, Bermuda","Right-Handed, One-Handed Backhand",,,"http://www.atpworldtour.com/en/players/patrick-rafter/r255/overview",,,,"01.01.2023"
9,"1993",77,185,"Oxford, England","London, England","Right-Handed, One-Handed Backhand","Paul Annacone",,"http://www.atpworldtour.com/en/players/tim-henman/h336/overview","https://twitter.com/timhenmannet","https://www.facebook.com/Tim-Henman-50418834623/",,"01.01.2023"
10,"1998",73,183,"Onteniente, Spain","Villena, Spain","Right-Handed, Two-Handed Backhand","Antonio Martinez, Samuel Lopez","http://www.equelite.com","http://www.atpworldtour.com/en/players/juan-carlos-ferrero/f316/overview","https://twitter.com/juankiferri","https://www.facebook.com/JuankiFerrero/","https://www.instagram.com/juankiferri/","01.01.2023"
11,"1991",73,180,"Barcelona, Spain","Barcelona, Spain","Right-Handed, One-Handed Backhand","Enrique Perez","http://www.alexcorretja.com","http://www.atpworldtour.com/en/players/alex-corretja/c344/overview","https://twitter.com/AlexCorretja74","https://www.facebook.com/AlexCorretja74/","https://www.instagram.com/alexcorretja74/","01.01.2023"
12,"1996",74,173,"Aix-en-Provence, France","Aix-en-Provence, France","Right-Handed, Two-Handed Backhand","Bruno Clement","http://arnaudclement.com","http://www.atpworldtour.com/en/players/arnaud-clement/c487/overview","https://twitter.com/arnaudclement","https://www.facebook.com/arnaudclementofficiel/",,"01.01.2023"
13,"1996",73,175,"Marseille, France","Boca Raton, Florida, USA","Right-Handed, Two-Handed Backhand","Bernard Fritz",,"http://www.atpworldtour.com/en/players/sebastien-grosjean/g379/overview","https://twitter.com/sebboca29",,,"01.01.2023"
14,"1991",88,191,"Stockholm, Sweden","Monte Carlo, Monaco","Right-Handed, Two-Handed Backhand",,,"http://www.atpworldtour.com/en/players/thomas-enqvist/e113/overview",,"https://www.facebook.com/Thomas-Enqvist-252074981891/",,"01.01.2023"
15,"1996",88,191,"Spokane, WA, USA","Colbert, WA, USA","Right-Handed, Unknown Backhand","Chuck Gambill",,"http://www.atpworldtour.com/en/players/jan-michael-gambill/g352/overview","https://twitter.com/janmikegambill","https://www.facebook.com/janmichael.gambill/","https://www.instagram.com/jmgambill/","01.01.2023"
16,"1994",103,196,"Melbourne, Victoria, Australia","Las Vegas, NV, USA","Right-Handed, One-Handed Backhand","Nick Philippoussis",,"http://www.atpworldtour.com/en/players/mark-philippoussis/p338/overview","https://twitter.com/MPhilippoussis",,,"01.01.2023"
17,"1994",80,183,"Buenos Aires, Argentina","Buenos Aires, Argentina","Left-Handed, One-Handed Backhand","Francisco Yunis",,"http://www.atpworldtour.com/en/players/franco-squillari/s568/overview",,"https://www.facebook.com/franco.squillari.7/",,"01.01.2023"
18,"1996",80,180,"Bratislava, Slovakia","Monte Carlo, Monaco","Right-Handed, Two-Handed Backhand","Tibor Toth",,"http://www.atpworldtour.com/en/players/dominik-hrbaty/h377/overview",,"https://www.facebook.com/Dominik-Hrbat%C3%BD-54386273766/","https://www.instagram.com/dominikhrbaty/","01.01.2023"
