id_p,tm,tmw,tml,aces,df,fs,wfs,wss,bps,bpw,fsp,fssp
47275,79,73,6,594,144,61,79,57,73,42,211,192
24008,90,69,21,841,194,71,76,54,68,37,218,201
68074,68,54,14,311,132,65,73,57,64,42,218,188
29932,76,53,23,795,138,62,78,55,69,39,218,192
22807,67,46,21,453,305,61,73,49,61,44,212,189
33648,73,49,24,424,152,65,73,54,63,40,211,184
5992,45,36,9,299,107,64,75,55,65,41,208,189
29372,69,43,26,578,182,61,76,53,68,35,215,187
39309,68,47,21,312,184,54,73,54,59,45,210,189
11953,64,46,18,541,234,61,80,52,67,37,221,193
30470,66,44,22,440,197,60,74,54,68,41,212,191
29935,64,45,19,355,109,61,71,55,66,41,223,181
69471,68,45,23,456,194,60,73,55,65,37,222,185
38911,63,39,24,434,116,63,73,55,65,38,209,184
63017,61,39,22,513,194,59,78,50,60,42,212,185
26473,58,39,19,769,99,63,77,54,70,36,226,197
63572,76,46,30,261,133,64,70,52,57,37,212,182
29939,60,33,27,491,149,58,74,52,63,35,220,191
25543,59,37,22,449,100,64,74,52,61,40,217,190
83135,70,42,28,448,235,60,74,49,63,39,216,189
87562,68,41,27,649,224,68,75,54,73,34,231,188
42451,50,31,19,391,87,60,74,52,60,38,211,190
30087,64,37,27,498,152,64,75,49,66,39,208,182
34233,52,30,22,490,157,64,74,50,67,36,213,189
58327,61,37,24,320,159,62,70,51,60,43,206,182
22433,59,35,24,404,72,60,72,53,65,36,216,180
52721,58,30,28,131,110,71,63,51,61,40,198,169
61838,49,30,19,396,125,61,75,51,67,35,222,192
40434,57,32,25,461,228,62,75,50,63,40,215,196
52279,66,35,31,226,204,64,68,51,60,43,198,176
71174,73,48,25,1298,347,64,80,55,72,35,229,202
67546,72,43,29,417,238,55,73,51,64,39,210,175
24245,49,25,24,565,316,60,75,43,62,39,218,188
29812,49,36,13,465,73,67,77,51,69,38,218,195
27482,43,19,24,378,99,62,74,50,64,33,221,194
31446,59,33,26,314,164,62,70,49,59,40,206,186
73956,55,29,26,393,185,56,70,49,60,39,204,177
56846,93,61,32,773,127,65,74,56,69,35,212,186
37532,62,32,30,395,105,65,71,50,65,37,220,192
33860,63,33,30,578,211,64,75,52,62,36,212,189
92985,79,45,34,353,171,68,69,51,62,42,210,184
14177,51,30,21,504,218,58,77,51,66,33,218,193
27358,67,36,31,139,236,69,65,47,59,40,192,171
76127,69,38,31,356,151,57,70,51,61,41,206,179
26140,52,24,28,405,105,63,73,51,55,37,235,194
18736,56,29,27,287,75,60,72,51,59,36,205,176
66828,57,30,27,130,140,65,64,47,57,43,217,175
86691,68,41,27,636,237,58,74,48,64,41,216,194
27851,45,24,21,248,107,64,72,51,65,40,202,181
86082,70,43,27,308,156,62,70,53,64,37,213,180
1837,65,37,28,181,141,68,67,52,61,40,194,171
11226,75,47,28,362,224,59,71,51,58,39,230,170
31392,59,26,33,367,123,66,72,51,61,33,216,194
