ID_P,NAME_P,DATE_P,COUNTRY_P,RANK_P,PROGRESS_P,POINT_P,HARDPOINT_P,HARDTOUR_P,CLAYPOINT_P,CLAYTOUR_P,GRASSPOINT_P,GRASSTOUR_P,CARPETPOINT_P,CARPETTOUR_P,PRIZE_P,CH_P,DR_P,DP_P,DO_P,IHARDPOINT_P,IHARDTOUR_P,ITF_ID
1,"Gustavo Kuerten","09/10/76 00:00:00","BRA",,,,,,,,,,,,14807000,,,,,,,
2,"Marat Safin","01/27/80 00:00:00","RUS",,,,,,,,,,,,14373291,,,,,,,
3,"Andre Agassi","04/29/70 00:00:00","USA",,,,,,,,,,,,31152975,,,,,,,
4,"Pete Sampras","08/12/71 00:00:00","USA",,,,,,,,,,,,43280489,,,,,,,
5,"Magnus Norman","05/30/76 00:00:00","SWE",,,,,,,,,,,,4537247,,,,,,,
6,"Yevgeny Kafelnikov","02/18/74 00:00:00","RUS",,,,,,,,,,,,23883797,,,,,,,
7,"Lleyton Hewitt","02/24/81 00:00:00","AUS",,,,,,,,,,,,20889965,,,,,,,
8,"Patrick Rafter","12/28/72 00:00:00","AUS",,,,,,,,,,,,11133128,,,,,,,
9,"Tim Henman","09/06/74 00:00:00","GBR",,,,,,,,,,,,11635542,,,,,,,
10,"Juan Carlos Ferrero","02/12/80 00:00:00","ESP",,,,,,,,,,,,13998165,,,,,,,
11,"Alex Corretja","04/11/74 00:00:00","ESP",,,,,,,,,,,,10411354,,,,,,,
12,"Arnaud Clement","12/17/77 00:00:00","FRA",,,,,,,,,,,,7125228,,,,,,,
13,"Sebastien Grosjean","05/29/78 00:00:00","FRA",,,,,,,,,,,,8131803,,,,,,,
14,"Thomas Enqvist","03/13/74 00:00:00","SWE",,,,,,,,,,,,10461641,,,,,,,
15,"Jan-Michael Gambill","06/03/77 00:00:00","USA",,,,,,,,,,,,3612893,,,,,,,
16,"Mark Philippoussis","11/07/76 00:00:00","AUS",,,,,,,,,,,,6987402,,,,,,,
17,"Franco Squillari","08/22/75 00:00:00","ARG",,,,,,,,,,,,2504591,,,,,,,
18,"Dominik Hrbaty","01/04/78 00:00:00","SVK",,,,,,,,,,,,7070095,,,,,,,
19,"Roger Federer","08/08/81 00:00:00","SUI",,,,,,,,,,,,130594339,,,,,,,
20,"Wayne Ferreira","09/15/71 00:00:00","RSA",,,,,,,,,,,,9969617,,,,,,,
21,"Andrei Pavel","01/27/74 00:00:00","ROU",,,,,,,,,,,,5225028,,,,,,,
22,"Tommy Haas","04/03/78 00:00:00","GER",,,,,,,,,,,,13609987,,,,,,,
23,"Thomas Johansson","03/24/75 00:00:00","SWE",,,,,,,,,,,,7168029,,,,,,,
24,"Carlos Moya","08/27/76 00:00:00","ESP",,,,,,,,,,,,13443970,,,,,,,
25,"Marcelo Rios","12/26/75 00:00:00","CHI",,,,,,,,,,,,9713771,,,,,,,
26,"Vladimir Voltchkov","04/07/78 00:00:00","BLR",,,,,,,,,,,,1315133,,,,,,,
27,"Hicham Arazi","10/19/73 00:00:00","MAR",,,,,,,,,,,,3602644,,,,,,,
28,"David Prinosil","03/09/73 00:00:00","GER",,,,,,,,,,,,4016496,,,,,,,
29,"Sjeng Schalken","09/08/76 00:00:00","NED",,,,,,,,,,,,5192798,,,,,,,
30,"Guillermo Coria","01/13/82 00:00:00","ARG",,,,,,,,,,,,5915620,,,,,,,
31,"Todd Martin","07/08/70 00:00:00","USA",,,,,,,,,,,,8232355,,,,,,,
32,"Michael Chang","02/22/72 00:00:00","USA",,,,,,,,,,,,19145632,,,,,,,
33,"Francisco Clavet","10/24/68 00:00:00","ESP",,,,,,,,,,,,4271881,,,,,,,
34,"Nicolas Escude","04/03/76 00:00:00","FRA",,,,,,,,,,,,3216150,,,,,,,
35,"Jonas Bjorkman","03/23/72 00:00:00","SWE",,,,,,,,,,,,14610671,,,,,,,
36,"Gaston Gaudio","12/09/78 00:00:00","ARG",,,,,,,,,,,,6066156,,,,,,,
37,"Nicolas Kiefer","07/05/77 00:00:00","GER",,,,,,,,,,,,7480465,,,,,,,
38,"Nicolas Lapentti","08/13/76 00:00:00","ECU",,,,,,,,,,,,6315143,,,,,,,
39,"Cedric Pioline","06/15/69 00:00:00","FRA",,,,,,,,,,,,6921029,,,,,,,
40,"Albert Costa","06/25/75 00:00:00","ESP",,,,,,,,,,,,7685228,,,,,,,
41,"Fernando Vicente","03/08/77 00:00:00","ESP",,,,,,,,,,,,2917616,,,,,,,
42,"Richard Krajicek","12/06/71 00:00:00","NED",,,,,,,,,,,,10077425,,,,,,,
43,"Max Mirnyi","07/06/77 00:00:00","BLR",,,,,,,,,,,,11763620,,,,,,,
44,"Bohdan Ulihrach","02/23/75 00:00:00","CZE",,,,,,,,,,,,3553302,,,,,,,
45,"Fabrice Santoro","12/09/72 00:00:00","FRA",,,,,,,,,,,,10013832,,,,,,,
46,"Albert Portas","11/15/73 00:00:00","ESP",,,,,,,,,,,,2972633,,,,,,,
47,"Rainer Schuettler","04/25/76 00:00:00","GER",,,,,,,,,,,,7407508,,,,,,,
48,"Greg Rusedski","09/06/73 00:00:00","GBR",,,,,,,,,,,,8944841,,,,,,,
49,"Alex Calatrava","06/14/73 00:00:00","ESP",,,,,,,,,,,,1335933,,,,,,,
50,"Harel Levy","08/05/78 00:00:00","ISR",,,,,,,,,,,,1579908,,,,,,,
51,"Gianluca Pozzi","06/17/65 00:00:00","ITA",,,,,,,,,,,,2272035,,,,,,,
52,"Andreas Vinciguerra","02/19/81 00:00:00","SWE",,,,,,,,,,,,1381556,,,,,,,
53,"Younes El Aynaoui","09/12/71 00:00:00","MAR",,,,,,,,,,,,4044667,,,,,,,
54,"Davide Sanguinetti","08/25/72 00:00:00","ITA",,,,,,,,,,,,2935584,,,,,,,
55,"Andrew Ilie","04/18/76 00:00:00","AUS",,,,,,,,,,,,1327838,,,,,,,
56,"Alberto Martin","08/20/78 00:00:00","ESP",,,,,,,,,,,,3840885,,,,,,,
57,"Mariano Puerta","09/19/78 00:00:00","ARG",,,,,,,,,,,,1781372,,,,,,,
58,"Jerome Golmard","09/09/73 00:00:00","FRA",,,,,,,,,,,,2215784,,,,,,,
59,"Arnaud Di Pasquale","02/11/79 00:00:00","FRA",,,,,,,,,,,,1162796,,,,,,,
60,"Andrei Medvedev","08/31/74 00:00:00","UKR",,,,,,,,,,,,6721598,,,,,,,
61,"Byron Black","10/06/69 00:00:00","ZIM",,,,,,,,,,,,5159775,,,,,,,
62,"Marc Rosset","11/07/70 00:00:00","SUI",,,,,,,,,,,,6812693,,,,,,,
63,"Juan-Manuel Balcells","06/20/75 00:00:00","ESP",,,,,,,,,,,,815801,,,,,,,
64,"Wayne Arthurs","03/18/71 00:00:00","AUS",,,,,,,,,,,,3687809,,,,,,,
65,"Michal Tabara","08/11/79 00:00:00","CZE",,,,,,,,,,,,853900,,,,,,,
66,"Jiri Novak","03/22/75 00:00:00","CZE",,,,,,,,,,,,7618613,,,,,,,
67,"Magnus Gustafsson","01/03/67 00:00:00","SWE",,,,,,,,,,,,4545489,,,,,,,
68,"Nicolas Massu","10/10/79 00:00:00","CHI",,,,,,,,,,,,4344833,,,,,,,
69,"Galo Blanco","10/08/76 00:00:00","ESP",,,,,,,,,,,,1832691,,,,,,,
70,"Sergio Bruguera","01/16/71 00:00:00","ESP",,,,,,,,,,,,11632199,,,,,,,
71,"Ivan Ljubicic","03/19/79 00:00:00","CRO",,,,,,,,,,,,10181121,,,,,,,
72,"Olivier Rochus","01/18/81 00:00:00","BEL",,,,,,,,,,,,4905754,,,,,,,
73,"Julien Boutter","04/05/74 00:00:00","FRA",,,,,,,,,,,,1430283,,,,,,,
74,"Mariano Zabaleta","02/28/78 00:00:00","ARG",,,,,,,,,,,,3204127,,,,,,,
75,"Mikhail Youzhny","06/25/82 00:00:00","RUS",,,,,,,,,,,,14264450,,,,,,,
76,"Agustin Calleri","09/14/76 00:00:00","ARG",,,,,,,,,,,,3753387,,,,,,,
77,"Michel Kratochvil","04/07/79 00:00:00","SUI",,,,,,,,,,,,1159379,,,,,,,
78,"Xavier Malisse","07/19/80 00:00:00","BEL",,,,,,,,,,,,5702871,,,,,,,
79,"Hyung-Taik Lee","01/03/76 00:00:00","KOR",,,,,,,,,,,,2355686,,,,,,,
80,"David Sanchez-Munoz","04/20/78 00:00:00","ESP",,,,,,,,,,,,1451767,,,,,,,
81,"Jason Stoltenberg","04/04/70 00:00:00","AUS",,,,,,,,,,,,3259607,,,,,,,
82,"Jan Siemerink","04/14/70 00:00:00","NED",,,,,,,,,,,,4347693,,,,,,,
83,"Jose Acasuso","10/20/82 00:00:00","ARG",,,,,,,,,,,,3642422,,,,,,,
84,"Tommy Robredo","05/01/82 00:00:00","ESP",,,,,,,,,,,,13467681,,,,,,,
85,"Guillermo Canas","11/25/77 00:00:00","ARG",,,,,,,,,,,,5285575,,,,,,,
86,"Felix Mantilla","09/23/74 00:00:00","ESP",,,,,,,,,,,,5332214,,,,,,,
87,"Karol Kucera","03/04/74 00:00:00","SVK",,,,,,,,,,,,5061125,,,,,,,
88,"Markus Hipfl","04/26/78 00:00:00","AUT",,,,,,,,,,,,787415,,,,,,,
89,"Andy Roddick","08/30/82 00:00:00","USA",,,,,,,,,,,,20640030,,,,,,,
90,"Christophe Rochus","12/15/78 00:00:00","BEL",,,,,,,,,,,,2753294,,,,,,,
91,"Antony Dupuis","02/24/73 00:00:00","FRA",,,,,,,,,,,,1591333,,,,,,,
92,"Stefan Koubek","01/02/77 00:00:00","AUT",,,,,,,,,,,,3365024,,,,,,,
93,"Chris Woodruff","01/02/73 00:00:00","USA",,,,,,,,,,,,1900659,,,,,,,
94,"Andrei Stoliarov","01/09/77 00:00:00","RUS",,,,,,,,,,,,733499,,,,,,,
95,"Alexander Popp","11/04/76 00:00:00","GER",,,,,,,,,,,,976038,,,,,,,
96,"Jens Knippschild","02/15/75 00:00:00","GER",,,,,,,,,,,,1017972,,,,,,,
97,"Paul Goldstein","08/04/76 00:00:00","USA",,,,,,,,,,,,1620456,,,,,,,
98,"Jiri Vanek","04/24/78 00:00:00","CZE",,,,,,,,,,,,1600539,,,,,,,
99,"Lars Burgsmuller","12/06/75 00:00:00","GER",,,,,,,,,,,,1887164,,,,,,,
100,"Fernando Meligeni","04/12/71 00:00:00","BRA",,,,,,,,,,,,2555367,,,,,,,
101,"Juan-Albert Viloca-Puig","01/17/73 00:00:00","ESP",,,,,,,,,,,,851371,,,,,,,
102,"Grant Stafford","05/27/71 00:00:00","RSA",,,,,,,,,,,,1307208,,,,,,,
103,"Alex Radulescu","12/07/74 00:00:00","GER",,,,,,,,,,,,698887,,,,,,,
104,"Jim Courier","08/17/70 00:00:00","USA",,,,,,,,,,,,14034132,,,,,,,
105,"Scott Draper","06/05/74 00:00:00","AUS",,,,,,,,,,,,1594598,,,,,,,
106,"Sargis Sargsian","06/03/73 00:00:00","ARM",,,,,,,,,,,,2603732,,,,,,,
107,"Brett Steven","04/27/69 00:00:00","NZL",,,,,,,,,,,,2439714,,,,,,,
108,"Martin Damm (1972)","08/01/72 00:00:00","CZE",,,,,,,,,,,,5735972,,,,,,,
109,"Lionel Roux","04/12/73 00:00:00","FRA",,,,,,,,,,,,1255648,,,,,,,
110,"Kenneth Carlsen","04/17/73 00:00:00","DEN",,,,,,,,,,,,2990980,,,,,,,
111,"Juan-Antonio Marin","03/02/75 00:00:00","CRC",,,,,,,,,,,,1210290,,,,,,,
112,"Christian Ruud","08/24/72 00:00:00","NOR",,,,,,,,,,,,1399813,,,,,,,
113,"Dirk Dier","02/16/72 00:00:00","GER",,,,,,,,,,,,388546,,,,,,,
114,"Richard Fromberg","04/28/70 00:00:00","AUS",,,,,,,,,,,,2605740,,,,,,,
115,"Todd Woodbridge","04/02/71 00:00:00","AUS",,,,,,,,,,,,10078820,,,,,,,
116,"Vince Spadea","07/19/74 00:00:00","USA",,,,,,,,,,,,5004860,,,,,,,
117,"Slava Dosedel","08/14/70 00:00:00","CZE",,,,,,,,,,,,2452512,,,,,,,
118,"Andrea Gaudenzi","07/30/73 00:00:00","ITA",,,,,,,,,,,,3063479,,,,,,,
119,"Mark Woodforde","09/23/65 00:00:00","AUS",,,,,,,,,,,,8551305,,,,,,,
120,"Bernd Karbacher","04/03/68 00:00:00","GER",,,,,,,,,,,,2043057,,,,,,,
121,"Tomas Nydahl","03/21/68 00:00:00","SWE",,,,,,,,,,,,671903,,,,,,,
122,"Julian Alonso-Pintor","08/02/77 00:00:00","ESP",,,,,,,,,,,,852891,,,,,,,
123,"Oscar Burrieza-Lopez","07/22/75 00:00:00","ESP",,,,,,,,,,,,319190,,,,,,,
124,"Martin Sinner","02/07/68 00:00:00","GER",,,,,,,,,,,,896974,,,,,,,
125,"Sultan Khalfan Al Alawi","03/16/77 00:00:00","QAT",,,,,,,,,,,,85177,,,,,,,
126,"Petr Korda","01/23/68 00:00:00","CZE",,,,,,,,,,,,10448900,,,,,,,
127,"Daniel Vacek","04/01/71 00:00:00","CZE",,,,,,,,,,,,4803388,,,,,,,
128,"Olivier Delaitre","06/01/67 00:00:00","FRA",,,,,,,,,,,,2788904,,,,,,,
129,"Richey Reneberg","10/05/65 00:00:00","USA",,,,,,,,,,,,4407308,,,,,,,
130,"Guillaume Raoux","02/14/70 00:00:00","FRA",,,,,,,,,,,,2446506,,,,,,,
131,"Javier Sanchez","02/01/68 00:00:00","ESP",,,,,,,,,,,,4427811,,,,,,,
132,"Magnus Larsson","03/25/70 00:00:00","SWE",,,,,,,,,,,,5839451,,,,,,,
133,"Jan Kroslak","10/17/74 00:00:00","SVK",,,,,,,,,,,,1169329,,,,,,,
134,"Carlos Costa","04/22/68 00:00:00","ESP",,,,,,,,,,,,3134189,,,,,,,
135,"Filip De Wulf","03/15/72 00:00:00","BEL",,,,,,,,,,,,1503987,,,,,,,
136,"Jeff Tarango","11/20/68 00:00:00","USA",,,,,,,,,,,,3730289,,,,,,,
137,"Marc-Kevin Goellner","09/22/70 00:00:00","GER",,,,,,,,,,,,2700899,,,,,,,
138,"Karim Alami","05/24/73 00:00:00","MAR",,,,,,,,,,,,2087596,,,,,,,
139,"Goran Ivanisevic","09/13/71 00:00:00","CRO",,,,,,,,,,,,19878007,,,,,,,
140,"Johan Van Herck","05/24/74 00:00:00","BEL",,,,,,,,,,,,717393,,,,,,,
141,"Mikael Tillstrom","03/05/72 00:00:00","SWE",,,,,,,,,,,,2030525,,,,,,,
142,"Michael Sell","08/23/72 00:00:00","USA",,,,,,,,,,,,294371,,,,,,,
143,"Teo Susnjak","07/23/77 00:00:00","NZL",,,,,,,,,,,,15429,,,,,,,
144,"Brian MacPhie","05/11/72 00:00:00","USA",,,,,,,,,,,,1331539,,,,,,,
145,"Glenn Weiner","04/27/76 00:00:00","USA",,,,,,,,,,,,498614,,,,,,,
146,"Christian Vinck","09/03/75 00:00:00","GER",,,,,,,,,,,,482534,,,,,,,
147,"MaliVai Washington","06/20/69 00:00:00","USA",,,,,,,,,,,,3232565,,,,,,,
148,"Marcelo Filippini","08/04/67 00:00:00","URU",,,,,,,,,,,,2016190,,,,,,,
149,"Alistair Hunt","11/11/72 00:00:00","NZL",,,,,,,,,,,,76749,,,,,,,
