ID_P,NAME_P
1,"Michael Hill/Caroline Vis"
2,"Todd Woodbridge/Rennae Stubbs"
3,"Lucas Arnold-Ker/Anabel Medina Garrigues"
4,"David Rikl/Karina Habsudova"
5,"Pavel Vizner/Janette Husarova"
6,"Tom Vanhoudt/Roberta Vinci"
7,"Mike Bryan/Lisa Raymond"
8,"Martin Garcia/Virginia Ruano Pascual"
9,"Jeff Tarango/Rita Grande"
10,"Ellis Ferreira/Cara Black"
11,"Jiri Novak/Daja Bedanova"
12,"Scott Draper/Lisa Mcshea"
13,"Gaston Etlis/Paola Suarez"
14,"Andrew Kratzmann/Nicole Pratt"
15,"Leander Paes/Miriam Oremans"
16,"Donald Johnson/Els Callens"
17,"Kevin Ullyett/Daniela Hantuchova"
18,"David Adams/Nicole Arendt"
19,"Ben Ellwood/Evie Dominikovic"
20,"Cyril Suk/Tina Krizan"
21,"Bob Bryan/Katarina Srebotnik"
22,"Mark Knowles/Silvia Farina Elia"
23,"Martin Damm/Henrieta Nagyova"
24,"Jared Palmer/Arantxa Sanchez-Vicario"
25,"Rick Leach/Liezel Huber"
26,"Joshua Eagle/Barbara Schett"
27,"Petr Pala/Kveta Peschke"
28,"Todd Reid/Samantha Stosur"
29,"Sandon Stolle/Annabel Ellwood"
30,"Nathan Healey/Alicia Molik"
31,"Mahesh Bhupathi/Elena Likhovtseva"
32,"Brian MacPhie/Lori Mcneil"
33,"Nicolas Coutelot/Emilie Loit"
34,"Julien Varlet/Alexandra Fusai"
35,"Steven Capriati/Jennifer Capriati"
36,"Pavel Vizner/Roberta Vinci"
37,"Antony Dupuis/Tatiana Golovin"
38,"Sandon Stolle/Nicole Pratt"
39,"Leander Paes/Lisa Raymond"
40,"Lucas Arnold-Ker/Paola Suarez"
41,"Mark Knowles/Elena Bovina"
42,"Rick Leach/Tina Krizan"
43,"Brian MacPhie/Patricia Tarabini"
44,"Martin Damm/Iroda Tulyaganova"
45,"Wayne Black/Cara Black"
46,"Petr Pala/Barbara Rittner"
47,"Gaston Etlis/Virginia Ruano Pascual"
48,"Mike Bryan/Liezel Huber"
49,"Arnaud Clement/Camille Pin"
50,"Stephane Huet/Caroline Dhenin"
51,"Cyril Suk/Wynne Prakusya"
52,"Michael Llodra/Nathalie Dechy"
53,"Ellis Ferreira/Els Callens"
54,"Jeff Tarango/Sandrine Testud"
55,"Mansour Bahrami/Nathalie Tauziat"
