ID_P,NAME_P,DATE_P,COUNTRY_P,RANK_P,PROGRESS_P,POINT_P,HARDPOINT_P,HARDTOUR_P,CLAYPOINT_P,CLAYTOUR_P,GRASSPOINT_P,GRASSTOUR_P,CARPETPOINT_P,CARPETTOUR_P,PRIZE_P,CH_P,DR_P,DP_P,DO_P,IHARDPOINT_P,IHARDTOUR_P,ITF_ID
1,"Anke Huber","12/04/74 00:00:00","GER",,,,,,,,,,,,4768292,,,,,,,
2,"Francesca Lubiani","07/12/77 00:00:00","ITA",,,,,,,,,,,,421264,,,,,,,
3,"Ann Wunderlich","10/13/70 00:00:00","USA",,,,,,,,,,,,1138377,,,,,,,
4,"Stephanie De Ville","07/24/76 00:00:00","BEL",,,,,,,,,,,,135959,,,,,,,
5,"Marion Maruska","12/15/72 00:00:00","AUT",,,,,,,,,,,,342007,,,,,,,
6,"Rewa Harriman","09/15/80 00:00:00","NZL",,,,,,,,,,,,,,,,,,,
7,"Gala Leon Garcia","12/23/73 00:00:00","ESP",,,,,,,,,,,,1053309,,,,,,,
8,"Florencia Labat","06/12/71 00:00:00","ARG",,,,,,,,,,,,1350630,,,,,,,
9,"Linda Wild","02/11/71 00:00:00","USA",,,,,,,,,,,,1237931,,,,,,,
10,"Dally Randriantefy","02/23/77 00:00:00","MAD",,,,,,,,,,,,663958,,,,,,,
11,"Sandra Cacic","09/10/74 00:00:00","USA",,,,,,,,,,,,707596,,,,,,,
12,"Ines Gorrochategui","06/13/73 00:00:00","ARG",,,,,,,,,,,,976039,,,,,,,
13,"Laura Golarsa","11/27/67 00:00:00","ITA",,,,,,,,,,,,1012453,,,,,,,
14,"Lindsay Lee-Waters","06/28/77 00:00:00","USA",,,,,,,,,,,,859911,,,,,,,
15,"Tamarine Tanasugarn","05/24/77 00:00:00","THA",,,,,,,,,,,,3491770,,,,,,,
16,"Alexandra Fusai","11/22/73 00:00:00","FRA",,,,,,,,,,,,1608170,,,,,,,
17,"Dominique Monami","05/31/73 00:00:00","BEL",,,,,,,,,,,,2013032,,,,,,,
18,"Rika Hiraki","12/06/71 00:00:00","JPN",,,,,,,,,,,,852103,,,,,,,
19,"Janette Husarova","06/04/74 00:00:00","SVK",,,,,,,,,,,,2402865,,,,,,,
20,"Cristina Torrens Valero","09/12/74 00:00:00","ESP",,,,,,,,,,,,1000722,,,,,,,
21,"Elena Pampoulova","05/17/72 00:00:00","BUL",,,,,,,,,,,,,,,,,,,
22,"Yuka Yoshida","04/01/76 00:00:00","JPN",,,,,,,,,,,,669605,,,,,,,
23,"Marlene Weingartner","01/30/80 00:00:00","GER",,,,,,,,,,,,1127324,,,,,,,
24,"Barbara Schett","03/10/76 00:00:00","AUT",,,,,,,,,,,,3109510,,,,,,,
25,"Karin Kschwendt","09/14/68 00:00:00","AUT",,,,,,,,,,,,676039,,,,,,,
26,"Alexia Dechaume-Balleret","05/03/70 00:00:00","FRA",,,,,,,,,,,,949605,,,,,,,
27,"Patricia Hy-Boulais","08/22/65 00:00:00","CAN",,,,,,,,,,,,1011116,,,,,,,
28,"Jolene Watanabe-Giltz","08/31/68 00:00:00","USA",,,,,,,,,,,,517164,,,,,,,
29,"Sarah Pitkowski-Malcor","11/13/75 00:00:00","FRA",,,,,,,,,,,,823787,,,,,,,
30,"Aleksandra Olsza","12/08/77 00:00:00","POL",,,,,,,,,,,,278504,,,,,,,
31,"Ginger Helgeson-Nielsen","09/14/68 00:00:00","USA",,,,,,,,,,,,,,,,,,,
32,"Judith Wiesner","03/02/66 00:00:00","AUT",,,,,,,,,,,,1738253,,,,,,,
33,"Brenda Schultz-Mccarthy","12/28/70 00:00:00","NED",,,,,,,,,,,,2632740,,,,,,,
34,"Miriam Oremans","09/09/72 00:00:00","NED",,,,,,,,,,,,1648499,,,,,,,
