id_pnt,win_pnt,fin_pnt,sem_pnt,qtr_pnt,for_pnt,thr_pnt,sec_pnt,fir_pnt,qlf_pnt,q3_pnt,q2_pnt,q1_pnt
6003,8000,4150,2200,1200,,,,630,-1,,,
11001,120,85,55,30,,,16,1,7.25,3.75,2.25,1
5006,142000,83600,49000,29000,,,17000,10000,-1,,,
10001,50,35,22,12,,,5,1,,,,
5007,1206620,603310,301655,150825,75420,46250,28155,18100,-1,11275,5630,2820
5008,439640,219820,109210,54605,,30800,16795,9450,-1,,,
10002,200,140,90,50,30,15,7,1,3,,,
6004,93000,49500,26500,14100,,,7600,4025,-1,2150,1150,625
6005,29000,15600,8400,4500,,,,2400,-1,,,
11002,195,137,88,49,,,25,1,11.75,6.75,4,1
6006,16000,9000,4800,2600,,,1450,800,-1,450,250,150
6007,5500,3000,1600,900,,,,450,-1,,,
11003,80,56,36,20,,,10,1,4.5,3,2,1
5009,53700,31600,18550,11200,,,,2000,-1,,,
5010,44100,26000,15300,9000,,,5300,3120,-2,425,,
5011,13950,8200,4800,2900,,,,1700,-2,,,
6008,25650,13825,7450,4015,,,2165,1165,-1,630,340,185
6009,7530,4050,2180,1175,,,,630,-1,,,
6010,189000,102000,54300,29000,,,15600,8300,-1,4500,2400,1275
11004,300,210,135,75,,,42,1,18.5,10.5,5.75,1
6011,59000,31450,16900,9000,,,,4800,-1,,,
10003,40,28,18,10,,,3,1,1,,,
5012,71400,41400,24700,14500,,,8525,5000,-2,535,315,
5013,25200,14850,8750,5250,,,,1700,-2,,,
5014,147000,77350,40850,21350,,,11310,5950,-2,895,,465
5015,46200,24300,12800,6720,,,,2550,-2,,,
10004,50,35,22,12,,,5,1,2,,,
5016,118750,62500,33000,17250,,,9150,4800,-1,720,,375
5017,34530,18160,9560,5040,,,,3000,-1,,,
5018,187500,98600,52000,27200,,,14425,7580,-1,1130,,600
5019,59450,31500,16450,8670,,,,3000,-1,,,
10005,60,42,27,15,,,5,1,2,,,
10006,50,35,22,12,,,5,3,1,1,,
5020,128000,67500,35500,18600,,,9800,5150,-1,,,
5021,38000,20000,10530,5550,,,,3000,-1,,,
6012,27500,14750,7690,4065,,,2235,1300,-1,660,360,200
6013,8200,4400,2290,1250,,,,660,-1,,,
6014,94000,50300,26950,14400,,,7700,4124,-1,2210,1180,630
6015,31000,16500,8800,4720,,,,2525,-1,,,
10007,100,70,45,25,15,7,3,1,1,,,
5022,455000,228000,114000,60450,31650,17000,8700,4400,-1,2500,,1250
5023,118000,61400,32500,16500,,,8800,3500,-1,,,
6016,332000,163000,80000,39375,19350,9475,4650,2325,-1,1170,,585
6017,91000,45500,22500,11255,,,5650,2675,-1,,,
5024,533350,266675,134400,70930,37400,19730,10350,5560,-1,2500,,1250
5025,137700,72000,37940,20400,,,10900,3500,-1,,,
6018,405000,212000,110800,58000,30320,15850,8300,4330,-1,2270,,1185
6019,115000,60200,31400,16450,,,8600,4500,-1,,,
5026,46700,27500,16110,9500,,,5600,3300,-2,425,,
5027,15000,8800,5160,3110,,,,1700,-2,,,
6020,93000,47500,24300,12450,,6380,3270,1675,-1,860,,440
6021,29000,14920,7650,3930,,,,2010,-1,,,
5028,340000,170000,85000,44100,,22900,12650,6350,-2,2175,,1090
5029,85000,44200,23450,12020,,,6400,2975,-2,,,
10008,100,70,45,25,,15,7,1,3,,,
6022,189000,96000,49125,25050,,12775,6500,3325,-1,1700,,865
6023,57000,29000,14740,7520,,,3800,1950,-1,,,
5030,130200,68500,36000,19000,,10000,5250,2770,-2,515,,265
5031,39000,20500,10800,5700,,,3050,1930,-2,,,
10009,60,42,27,15,,5,3,1,1,,,
10010,300,210,135,75,,25,15,5,5,3,,1
5032,74300,43700,25700,15120,,,8900,5230,-2,560,330,
5033,26500,15600,9150,5150,,,,1700,-2,,,
6024,30500,16450,8840,4745,,,2550,1370,-1,735,395,215
6025,9150,4900,2625,1410,,,,760,-1,,,
6026,27000,14500,7500,4000,,,2200,1300,-1,650,350,200
6027,8000,4250,2250,1225,,,,650,-1,,,
5034,870000,440000,220000,116180,62020,36140,21795,13100,-1,6600,3300,1760
5035,275000,137500,68750,34685,,19580,9795,6565,-1,,,
5036,80500,47400,27850,16400,,9650,5670,3335,-2,420,240,
5037,27000,15950,9400,5650,,,3320,1700,-2,,,
10011,225,155,100,55,,20,10,5,5,,,
10012,45,31,20,11,,4,2,1,1,,,
10013,45,31,20,11,,,4,1,2,,,
4,300,210,135,75,0,25,15,5,10,5,0,1
5,250,175,110,60,0,25,15,5,10,5,0,1
6,250,175,110,60,0,25,15,5,10,0,0,0
7,225,155,100,55,0,20,10,5,10,0,0,0
8,200,140,90,50,0,0,15,5,5,0,0,0
9,175,120,75,40,0,0,15,5,5,0,0,0
10,100,70,45,23,0,0,10,1,3,0,0,0
11,90,63,40,21,0,0,9,1,3,0,0,0
12,80,56,36,19,0,0,8,1,3,0,0,0
13,70,49,31,16,0,0,7,1,3,0,0,0
14,60,42,27,14,0,0,6,1,3,0,0,0
15,55,38,24,13,0,0,5,1,2,0,0,0
16,50,35,22,12,0,0,5,1,2,0,0,0
17,24,16,8,4,0,0,1,0,0,0,0,0
18,18,12,6,3,0,0,1,0,0,0,0,0
19,12,8,4,2,0,0,1,0,0,0,0,0
20,400,280,155,100,0,50,25,5,50,0,0,0
21,250,200,0,0,0,0,0,0,100,0,0,0
200,650,456,292,162,90,56,32,2,26,21,12.5,2
201,485,340,218,121,0,0,0,67,0,0,0,0
202,325,228,146,81,0,0,45,1,20,0,0,0
203,325,228,146,81,45,28,16,1,11,6.25,0,1
204,300,210,135,75,0,0,0,1,19,0,0,0
205,300,210,135,75,0,0,42,1,18.5,10.5,5.75,1
206,300,210,135,75,0,42,25,1,10.5,5.75,0,1
207,275,193,124,69,0,0,0,1,17,0,0,0
208,275,193,124,69,0,0,38,1,17,9.5,5.25,1
209,275,193,124,69,0,38,23,1,9.5,5.25,0,1
210,220,154,99,55,0,0,0,1,13,0,0,0
211,220,154,99,55,0,0,29,1,13.25,7.75,4.5,1
212,220,154,99,55,0,29,15,1,7.75,4.5,0,1
213,195,137,88,49,0,0,0,1,11.75,0,0,0
214,195,137,88,49,0,0,25,1,11.75,6.75,4,1
215,195,137,88,49,0,25,14,1,6.75,4,0,1
216,145,103,66,37,0,0,0,1,9.5,0,0,0
217,145,103,66,37,0,0,19,1,8.5,4.5,2.75,1
218,145,103,66,37,0,19,10,1,4.5,2.75,0,1
219,120,85,55,30,0,0,0,1,7.5,0,0,0
5087,64800,33350,16750,7500,,,,2000,-1,3250,,500
5088,20500,11750,7000,3800,,,,2000,-1,,,
220,120,85,55,30,0,0,16,1,7.25,3.75,2.25,1
221,120,85,55,30,0,16,9,1,3.75,2.25,0,1
222,95,67,43,24,0,0,0,1,6.5,0,0,0
223,95,67,43,24,0,0,12,1,5.5,3.5,2,1
224,80,56,36,20,0,0,0,1,5,0,0,0
225,80,56,36,20,0,0,10,1,4.5,3,2,1
226,65,46,29,16,0,0,0,1,0,0,0,0
227,65,46,29,16,0,0,8,1,2.5,2,1.5,1
228,55,38.5,24.5,14.5,0,0,0,1,0,0,0,0
229,55,38.5,24.5,14.5,0,0,7,1,2.5,2,1.5,1
230,45,31.5,20,11.5,0,0,0,1,0,0,0,0
231,45,31.5,20,11.5,0,0,5.5,1,2.5,2,1.5,1
232,35,24.5,15.5,8.5,0,0,0,1,0,0,0,0
233,35,24.5,15.5,8.5,0,0,5,1,2.5,2,1.5,1
234,25,17,11.5,7,0,0,0,1,0,0,0,0
235,25,17,11.5,7,0,0,3.5,1,1.5,0.5,0,0.25
236,12,8,5,1,0,0,0,0,0,0,0,0
237,12,8,5,3,0,0,0,1,0,0,0,0
238,6,4,2,1.5,0,0,0,0,0,0,0,0
239,6,4,2,1.5,0,0,0,1,0.75,0,0,0
240,5,4,2,1,0,0,0,0,0,0,0,0
241,5,4,2,1.5,0,0,0,1,0,0,0,0
22,300,210,135,75,0,0,25,5,10,5,0,1
23,250,175,110,60,0,0,25,5,10,5,0,1
24,250,175,110,60,0,0,25,5,10,0,0,0
25,225,155,100,55,0,0,20,5,10,0,0,0
5000,57750,33960,20000,11750,,,6900,4070,-1,500,,
5001,18710,11010,6480,3900,,,,2000,-1,,,
10000,35,24,15,8,,,3,1,1,,,
5002,52000,30600,18000,10600,,,6225,3650,-1,500,,
5003,16350,9600,5650,3400,,,,2000,-1,,,
5004,58750,34570,20330,12000,,,7000,4150,-1,500,,
5005,19160,11260,6600,4000,,,,2000,-1,,,
6000,22000,12000,6300,3400,,,1825,1000,-1,550,300,175
6001,6500,3475,1850,1000,,,,550,-1,,,
243,525,369,235,,,,130,72,-1,,,
5038,96000,56500,33200,19550,,,11500,6755,-2,725,425,
5039,35500,20850,12280,7380,,,,1700,-2,,,
6028,31000,16000,8220,4230,,2180,1125,580,-1,,,
6029,9250,4760,2450,1260,,,,650,-1,,,
