ID_P_S,ID_T_S,SEEDING
2,1,"1"
7,1,"6"
10,1,"4"
16,1,"5"
18,1,"8"
24,1,"3"
25,1,"7"
31,1,"2"
24,2,"1"
39,2,"4"
17,2,"6"
45,2,"5"
31,2,"3"
2,2,"7"
56,2,"2"
57,3,"1"
62,3,"16"
64,3,"12"
41,3,"8"
17,3,"4"
36,3,"14"
26,3,"11"
39,3,"5"
82,3,"7"
13,3,"9"
89,3,"15"
31,3,"3"
48,3,"6"
21,3,"10"
102,3,"13"
56,3,"2"
2,4,"1"
41,4,"8"
17,4,"4"
56,4,"6"
118,4,"7"
31,4,"3"
45,4,"5"
7,4,"2"
127,5,"1"
17,5,"5"
131,5,"3"
136,5,"8"
137,5,"7"
143,5,"4"
45,5,"6"
7,5,"2"
149,6,"1"
143,6,"5"
31,6,"3"
109,6,"7"
160,6,"6"
45,6,"4"
165,6,"8"
7,6,"2"
171,7,"1"
176,7,"16"
179,7,"9"
17,7,"7"
183,7,"3"
186,7,"13"
188,7,"11"
45,7,"6"
143,7,"8"
199,7,"10"
163,7,"14"
202,7,"4"
109,7,"5"
26,7,"12"
209,7,"15"
7,7,"2"
171,8,"1"
219,8,"6"
221,8,"3"
21,8,"8"
227,8,"5"
232,8,"4"
45,8,"7"
7,8,"2"
221,9,"1"
45,9,"6"
109,9,"4"
243,9,"7"
227,9,"8"
2,9,"3"
250,9,"5"
31,9,"2"
31,10,"1"
252,10,"8"
45,10,"4"
194,10,"7"
264,10,"5"
7,10,"3"
109,10,"6"
221,10,"2"
31,11,"1"
227,11,"15"
295,11,"10"
296,11,"7"
7,11,"3"
228,11,"13"
109,11,"9"
45,11,"6"
297,11,"5"
237,11,"11"
298,11,"14"
299,11,"4"
300,11,"8"
219,11,"12"
240,11,"16"
221,11,"2"
301,12,"1"
306,12,"6"
307,12,"4"
312,12,"7"
314,12,"5"
319,12,"3"
109,12,"8"
45,12,"2"
301,13,"1"
219,13,"8"
314,13,"6"
307,13,"5"
339,13,"4"
341,13,"7"
45,13,"2"
301,14,"1"
339,14,"5"
349,14,"4"
319,14,"7"
356,14,"8"
45,14,"3"
109,14,"6"
365,14,"2"
397,15,"1"
398,15,"14"
363,15,"11"
219,15,"7"
339,15,"4"
328,15,"16"
209,15,"9"
399,15,"5"
