ID_P_S,ID_T_S,SEEDING
4284,470,"1  "
4285,470,"q  "
4288,470,"4  "
4291,470,"WC "
4295,470,"3  "
4298,470,"2  "
4300,471,"1  "
4303,471,"WC "
4305,471,"4  "
4311,471,"3  "
4314,471,"2  "
4315,471,"q  "
4317,474,"1  "
4287,474,"3  "
4320,474,"q  "
4323,474,"WC "
4302,474,"4  "
4327,474,"2  "
4300,473,"1  "
4332,473,"4  "
4335,473,"q  "
4338,473,"3  "
4342,473,"2  "
4343,473,"WC "
4344,472,"1  "
4348,472,"3  "
4349,472,"LL "
4350,472,"WC "
4354,472,"4  "
4358,472,"2  "
4359,472,"q  "
4360,475,"1  "
4323,475,"WC "
4286,475,"16 "
4314,475,"12 "
4368,475,"WC "
4348,475,"7  "
4300,475,"4  "
4372,475,"15 "
4298,475,"10 "
4355,475,"6  "
4377,475,"WC "
4378,475,"5  "
4382,475,"11 "
4342,475,"13 "
4344,475,"3  "
4388,475,"8  "
4391,475,"WC "
4354,475,"9  "
4395,475,"14 "
4285,475,"WC "
4398,475,"WC "
4400,475,"2  "
4300,476,"1  "
4402,476,"q  "
4404,476,"4  "
4406,476,"3  "
4407,476,"WC "
4284,476,"2  "
4410,476,"WC "
4411,478,"1  "
4410,478,"q  "
4412,478,"WC "
4413,478,"WC "
4414,478,"4  "
4287,478,"3  "
4422,478,"2  "
4424,477,"1  "
4427,477,"4  "
4428,477,"WC "
4431,477,"q  "
4288,477,"3  "
4292,477,"2  "
4348,479,"1  "
4436,479,"3  "
4438,479,"WC "
4440,479,"LL "
4441,479,"4  "
4444,479,"q  "
4292,479,"2  "
4300,480,"1  "
4286,480,"4  "
4415,480,"q  "
4452,480,"WC "
4382,480,"3  "
4453,480,"WC "
4456,480,"2  "
4300,481,"1  "
4458,481,"WC "
4382,481,"3  "
4461,481,"q  "
4286,481,"4  "
4465,481,"WC "
4456,481,"2  "
4392,483,"1  "
4468,483,"WC "
4329,483,"4  "
4410,483,"q  "
4473,483,"3  "
4352,483,"2  "
4477,482,"1  "
4373,482,"4  "
4485,482,"3  "
4488,482,"q  "
4489,482,"2  "
4490,482,"WC "
4491,484,"1  "
4492,484,"WC "
4494,484,"q  "
4495,484,"3  "
4498,484,"4  "
4348,484,"2  "
4456,485,"1  "
4502,485,"WC "
4376,485,"4  "
4503,485,"q  "
4506,485,"3  "
4314,485,"2  "
4400,486,"1  "
4378,486,"6  "
4348,486,"3  "
4513,486,"LL "
4517,486,"5  "
4404,486,"7  "
4485,486,"q  "
4522,486,"LL "
4406,486,"4  "
4355,486,"8  "
4453,486,"WC "
4300,486,"2  "
4400,487,"1  "
4523,487,"WC "
4355,487,"7  "
4348,487,"3  "
4469,487,"WC "
4529,487,"6  "
4378,487,"5  "
4531,487,"LL "
4522,487,"q  "
4406,487,"4  "
4404,487,"8  "
4532,487,"WC "
4300,487,"2  "
4536,489,"1  "
4540,489,"3  "
4541,489,"q  "
4376,489,"4  "
4545,489,"WC "
4547,489,"2  "
4404,488,"1  "
4288,488,"3  "
4551,488,"WC "
4556,488,"4  "
4557,488,"WC "
4559,488,"2  "
4522,488,"q  "
4551,490,"WC "
4406,490,"5  "
4560,490,"WC "
4562,490,"q  "
4563,490,"WC "
4565,490,"LL "
4566,490,"6  "
4571,490,"7  "
4400,490,"1  "
4574,490,"4  "
4575,490,"3  "
4300,490,"2  "
4456,491,"1  "
4380,491,"3  "
4578,491,"WC "
4580,491,"q  "
