ID_T,NAME_T,ID_C_T,DATE_T,RANK_T,LINK_T,COUNTRY_T,PRIZE_T,RATING_T,URL_T,LATITUDE_T,LONGITUDE_T,SITE_T,RACE_T,ENTRY_T,SINGLES_T,DOUBLES_T,TIER_T,RESERVE_INT_T,RESERVE_CHAR_T,LIVE_T,RESULT_T
1,"ASB Bank Classic - Auckland",1,"01/01/97 00:00:00",2,,"NZL",,,,-36.52,174.46001,,,,,,,,,,
2,"Thalgo Australian Women's Hardcourt Championships - Gold Coast",1,"01/01/97 00:00:00",2,,"AUS",,,,-27.58,153.25,,,,,,,,,,
3,"ANZ Tasmanian International - Hobart",1,"01/06/97 00:00:00",2,,"AUS",,,,-42.529999,147.19,,,,,,,,,,
4,"adidas International - Sydney",1,"01/06/97 00:00:00",2,,"AUS",,,,-33.52,151.13,,,,,,,,,,
5,"Australian Open - Melbourne",1,"01/13/97 00:00:00",4,,"AUS",,,,-37.490002,144.58,,,,,,,,,,
6,"Toray Pan Pacific Open - Tokyo",4,"01/27/97 00:00:00",2,,"JPN",,,,35.419998,139.46001,,,,,,,,,,
7,"EA Generali Ladies - Linz",4,"02/03/97 00:00:00",2,,"AUT",,,,48.18,14.18,,,,,,,,,,
8,"Open Gaz de France - Paris",3,"02/10/97 00:00:00",2,,"FRA",,,,48.52,2.2,,,,,,,,,,
9,"Faber Grand Prix - Hannover",3,"02/17/97 00:00:00",2,,"GER",,,,52.240002,9.4399996,,,,,,,,,,
10,"IGA Tennis Classic - Oklahoma City, Oklahoma",3,"02/17/97 00:00:00",2,,"USA",,,,35.279999,-97.309998,,,,,,,,,,
11,"State Farm Evert Cup - Indian Wells, California",1,"03/03/97 00:00:00",3,,"USA",,,,33.43,-116.18,,,,,,,,,,
12,"The Lipton Championships - Key Biscayne, Florida",1,"03/17/97 00:00:00",3,,"USA",,,,25.42,-80.099998,,,,,,,,,,
13,"Family Circle Cup - Hilton Head, South Carolina",2,"03/31/97 00:00:00",2,,"USA",,,,32.130001,-80.449997,,,,,,,,,,
14,"Bausch & Lomb Championships - Amelia Island, Florida",2,"04/07/97 00:00:00",2,,"USA",,,,30.35,-81.269997,,,,,,,,,,
15,"Japan Open - Tokyo",1,"04/14/97 00:00:00",2,,"JPN",,,,35.419998,139.46001,,,,,,,,,,
16,"Lotto - Westel 900 Budapest Open - Budapest",2,"04/21/97 00:00:00",2,,"HUN",,,,47.299999,19.049999,,,,,,,,,,
17,"Danamon Open - Jakarta",1,"04/21/97 00:00:00",2,,"INA",,,,-6.0999999,106.48,,,,,,,,,,
18,"Bol Ladies Open - Bol",2,"04/28/97 00:00:00",2,,"CRO",,,,43.16,16.4,,,,,,,,,,
19,"International Damen Grand Prix Tennis - Hamburg",2,"04/28/97 00:00:00",2,,"GER",,,,53.330002,9.5900002,,,,,,,,,,
20,"Campionati Internazionali d'Italia - Rome",2,"05/05/97 00:00:00",3,,"ITA",,,,41.540001,12.29,,,,,,,,,,
21,"German Open - Berlin",2,"05/12/97 00:00:00",3,,"GER",,,,52.290001,13.21,,,,,,,,,,
22,"The Welsh International Open - Cardiff",2,"05/12/97 00:00:00",2,,"GBR",,,,51.290001,-3.1300001,,,,,,,,,,
23,"Open Villa de Madrid - Madrid",2,"05/19/97 00:00:00",2,,"ESP",,,,40.240002,-3.4100001,,,,,,,,,,
24,"Internationaux de Strasbourg - Strasbourg",2,"05/19/97 00:00:00",2,,"FRA",,,,48.349998,7.4499998,,,,,,,,,,
25,"French Open - Paris",2,"05/26/97 00:00:00",4,,"FRA",,,,48.52,2.2,,,,,,,,,,
26,"DFS Classic - Birmingham",5,"06/09/97 00:00:00",2,,"GBR",,,,52.299999,-1.5,,,,,,,,,,
27,"Direct Line Insurance Ladies Championships - Eastbourne",5,"06/16/97 00:00:00",2,,"GBR",,,,50.459999,0.17,,,,,,,,,,
28,"Heineken Trophy - Rosmalen",5,"06/16/97 00:00:00",2,,"NED",,,,51.43,5.2199998,,,,,,,,,,
29,"Wimbledon - London",5,"06/23/97 00:00:00",4,,"GBR",,,,51.299999,-0.1,,,,,,,,,,
30,"Internazionali Femminili di Tennis - Palermo",2,"07/14/97 00:00:00",2,,"ITA",,,,38.07,13.22,,,,,,,,,,
31,"Skoda Czech Open - Prague",2,"07/14/97 00:00:00",2,,"CZE",,,,50.049999,14.26,,,,,,,,,,
32,"Bank of the West Classic - Stanford, California",1,"07/21/97 00:00:00",2,,"USA",,,,37.25,-122.1,,,,,,,,,,
33,"Warsaw Cup by Heros - Warsaw",2,"07/21/97 00:00:00",2,,"POL",,,,52.150002,21,,,,,,,,,,
