flashscore_name,oncourt_standardized_name
Andreescu S. A.,Adrian Andreescu S.
Auger-Aliassime F.,Auger Aliassime F.
Bautista-Agut R.,Bautista Agut R.
Bu Y.,Yunchaokete B.
Burruchaga R. A.,Andres Burruchaga R.
Cerundolo J. M.,Manuel Cerundolo J.
Dedura D.,Dedura-Palomero D.
Dhamne M.,Manoj Dhamne M.
Etcheverry T. M.,Martin Etcheverry T.
Ficovich J. P.,Pablo Ficovich J.
Fritz T.,Harry Fritz T.
Galan D. E.,Elahi Galan D.
Gomez F. A.,Agustin Gomez F.
Jianu F. C.,Cristian Jianu F.
Kubler J.,Murray Kubler J.
Martinez P.,Martinez Portero P.
McDonald M.,Mcdonald M.
Monteiro T.,Moura Monteiro T.
Munar J.,Antoni Munar Clar J.
Ramos A.,Ramos-Vinolas A.
Rehberg M. H.,Hans Rehberg M.
Struff J-L.,Struff J.
Tirante T. A.,Agustin Tirante T.
Trotter J. K.,Kent Trotter J.
Tseng C. H.,Hsin Tseng C.
Wong C.,Lam Coleman Wong C.
van Assche L.,Van Assche L.
van Rijthoven T.,Van Rijthoven T.
Dellien Velasco M. A.,Dellien M.
Blanch Dar.,Blanch D.
Kodat T.,Alex Kodat T.
